Family,Instance Name,with-VBGS,,,without-VBGS,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
misc,adder-dcop-42,2398,2398,2398,2440,2440,2440
misc,adder-dcop-43,2407,2407,2407,2491,2491,2491
misc,adder-dcop-44,2401,2401,2401,2463,2463,2463
misc,adder-dcop-45,2402,2401,2401,2454,2454,2454
misc,adder-dcop-46,2403,2403,2403,2471,2471,2471
misc,adder-dcop-47,2390,2390,2390,2491,2491,2491
misc,adder-dcop-48,2397,2397,2397,2432,2432,2432
misc,adder-dcop-49,2407,2407,2407,2489,2489,2489
misc,adder-dcop-50,2390,2390,2390,2493,2493,2493
misc,adder-dcop-51,2396,2396,2396,2421,2421,2421
misc,adder-dcop-52,2380,2378,2378,2426,2426,2426
misc,adder-dcop-53,2402,2402,2402,2466,2466,2466
misc,adder-dcop-54,2396,2396,2396,2448,2448,2448
misc,adder-dcop-55,2391,2391,2391,2487,2487,2487
misc,adder-dcop-56,2406,2406,2406,2446,2446,2446
misc,adder-dcop-57,2405,2405,2405,2437,2437,2437
misc,adder-dcop-58,2409,2409,2409,2455,2455,2455
misc,adder-dcop-59,2416,2416,2416,2455,2455,2455
misc,adder-dcop-60,2401,2401,2399,2468,2468,2468
misc,adder-dcop-61,2406,2406,2406,2496,2496,2496
misc,adder-dcop-62,2410,2410,2407,2493,2493,2493
misc,adder-dcop-63,2390,2390,2390,2434,2434,2434
misc,adder-dcop-64,2406,2405,2405,2440,2440,2440
misc,adder-dcop-65,2404,2404,2404,2471,2471,2471
misc,adder-dcop-66,2403,2403,2403,2447,2447,2447
misc,adder-dcop-67,2399,2399,2399,2460,2460,2460
misc,adder-dcop-68,2428,2428,2428,2488,2488,2488
misc,adder-dcop-69,2411,2411,2411,2454,2454,2454
misc,adder-trans-01,2393,2393,2393,2459,2459,2459
misc,adder-trans-02,2406,2406,2406,2466,2466,2466
misc,advogato,13483,13483,13483,13404,13404,13404
misc,af23560,31071,30870,30845,31177,31177,31177
misc,aff-dbpedia-users2country,591039,591006,590972,591039,591002,591002
misc,aff-delicious-user-tag,230717,230620,230555,230717,230679,230679
misc,aff-github-user2project,205148,204589,204257,205170,204485,204482
misc,af-shell2,68774,68714,68684,68789,68739,68739
misc,af-shell3,130552,130216,130196,130539,130348,130348
misc,af-shell4,130552,130250,130229,130552,130342,130332
misc,af-shell5,130210,129930,129884,130199,129940,129940
misc,af-shell6,130207,129944,129875,130199,129964,129939
misc,af-shell7,136684,129336,129321,129676,129349,129349
misc,af-shell8,129674,129320,129305,129674,129413,129388
misc,aft01,10030,10026,10020,10089,10089,10089
misc,aft02,10059,10053,10041,10170,10170,10170
misc,air02,8535,8527,8522,8553,8553,8553
misc,air03,13928,13928,13928,13928,13928,13928
misc,air04,16896,16767,16763,17119,17119,17119
misc,air05,13735,13664,13661,13952,13952,13952
misc,air06,16544,16482,16477,16747,16747,16747
misc,aircraft,11482,11482,11482,11500,11500,11500
misc,airfoil-2d,17428,17427,17427,17465,17465,17465
misc,Alemdar,7508,7498,7493,7658,7658,7658
misc,amazon0302,329258,329258,309953,329258,315198,310726
misc,Andrews,89397,87388,85602,89006,87211,87211
misc,apache1,90808,90681,90645,90858,90858,90858
misc,appu,124728,124721,124715,124729,124728,124728
misc,arenas-pgp,11912,11835,11797,12001,12001,12001
misc,as-22july06,26572,26207,25985,26697,26697,26697
misc,as-caida,30219,29892,29683,30309,30309,30309
misc,as-caida20071105,30324,29996,29780,30404,30404,30404
misc,ASIC-100k,110956,107162,106895,108062,107357,107357
misc,ASIC-100ks,104228,103922,103801,104187,104051,104051
misc,ASIC-320ks,327934,327302,327276,327453,327310,327310
misc,ASIC-680k,200741,199811,199783,199744,199732,199732
misc,astro-ph,24237,23920,23833,23528,23528,23528
misc,atmosmodl,310231,308892,308692,310080,308870,308840
misc,atmosmodm,345438,344293,344132,345438,344346,344257
misc,aug2d,30340,30317,30312,30374,30374,30374
misc,aug2dc,31564,31536,31529,31584,31584,31584
misc,aug3d,27076,26908,26857,27201,27201,27201
misc,aug3dcqp,39030,38855,38741,39117,39117,39117
misc,av41092,121480,110232,108773,112181,110204,109176
misc,barth,7651,7645,7637,7694,7694,7694
misc,barth4,6918,6918,6918,6956,6956,6956
misc,barth5,17023,17021,17021,17090,17090,17090
misc,bas1lp,28027,27769,27733,28068,28068,28068
misc,Baumann,126164,126021,125981,126150,126101,126101
misc,bauru5727,39494,39487,39484,39521,39521,39521
misc,baxter,61824,61784,61729,61838,61838,61838
misc,bayer01,87290,86600,85934,87364,86829,86829
misc,bayer02,25673,25246,25131,25836,25836,25836
misc,bayer03,14717,14572,14537,14967,14967,14967
misc,bayer04,37567,36936,36598,37563,37563,37563
misc,bayer05,7757,7638,7578,7947,7947,7947
misc,bayer06,7423,7349,7331,7623,7623,7623
misc,bayer07,7749,7688,7629,7954,7954,7954
misc,bayer08,7422,7349,7325,7618,7618,7618
misc,bayer09,6981,6891,6860,7229,7229,7229
misc,bayer10,25610,24977,24844,25730,25730,25730
misc,bbmat,58520,58157,57907,58411,58285,58285
misc,bcircuit,69887,69883,69876,69910,69910,69910
misc,bcspwr10,5764,5763,5763,5798,5798,5798
misc,bcsstk10,1945,1945,1945,1992,1992,1992
misc,bcsstk11,2643,2643,2643,2653,2653,2653
misc,bcsstk12,2620,2620,2620,2704,2704,2704
misc,bcsstk13,4890,4890,4890,4896,4896,4896
