The table shows the |V(S)| value for each algorithm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domains,Instance Name,Vertex,Edge,METIS_G,,,METIS_F,,,SPAC_G,,,SPAC_F,,,SHEEP_G,,,SHEEP_F,,,NE_G,,,NE_F,,,ParHS-BGEP,,
,,,,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s
misc,Maragal-5,7950,93091,18263,18263,18263,18049,18019,17958,18787,18787,18787,18659,18649,18621,24352,24352,24352,24331,24331,24273,18211,18211,18211,18211,18211,18211,16299,15313,15017
misc,Maragal-6,31395,537694,72097,72061,72061,72399,71453,71385,72071,72071,72071,71840,71840,71821,98021,98021,98021,98277,98240,98053,71941,71941,71941,71941,71941,71941,71473,61096,56285
misc,Maragal-7,73370,1200537,149492,147118,147118,159410,151055,150991,140662,140662,140662,140709,140305,140305,153222,153222,153222,153283,153132,153070,138096,138096,138096,138096,138096,138096,129692,125866,119945
misc,Maragal-8,93938,1308415,162812,161237,161237,193168,164283,164175,172841,172838,172838,173729,173475,173475,172637,172637,172637,173094,172881,172644,181252,181252,181252,181252,181252,181252,160084,156386,147931
misc,mario001,38434,91513,39951,39951,39951,39915,39915,39915,39826,39826,39826,39826,39826,39826,43606,43606,43606,43323,43323,43323,40734,40734,40734,40722,40722,40722,39749,39742,39742
misc,mario002,389874,933557,394562,394562,394562,394567,394567,394567,394409,394409,394409,394410,394409,394409,459082,456091,456091,462390,449873,440244,401468,401468,401468,401456,401456,401456,394404,394275,394170
misc,mark3jac020,9129,45314,13976,13976,13976,13893,13893,13893,13796,13796,13796,13735,13735,13735,22740,22740,22740,22356,22118,22118,14167,14167,14167,14167,14167,14167,13376,13339,13335
misc,mark3jac020sc,9129,45314,13976,13976,13976,13893,13893,13893,13796,13796,13796,13735,13735,13735,22740,22740,22740,22356,22118,22118,13931,13931,13931,13931,13931,13931,13385,13328,13304
misc,mark3jac040,18289,91634,26256,26256,26256,26089,26089,26089,25797,25797,25797,25742,25742,25742,44256,44256,44256,45449,45445,45445,27084,27084,27084,27046,27046,27046,25393,25256,25223
misc,mark3jac040sc,18289,91634,26256,26256,26256,26089,26089,26089,25797,25797,25797,25742,25742,25742,44256,44256,44256,45450,45445,45445,27116,27116,27116,27097,27097,27097,25418,25267,25201
misc,mark3jac060,27449,137954,38022,38022,38022,37766,37766,37766,37125,37125,37125,37090,37090,37090,66482,66482,66482,68662,67822,67822,39254,39254,39254,39254,39254,39254,36658,36314,36265
misc,mark3jac060sc,27449,137954,38022,38022,38022,37766,37766,37766,37125,37125,37125,37090,37090,37090,66482,66482,66482,68662,67822,67822,38810,38810,38810,38810,38810,38810,36733,36356,36266
misc,mark3jac080,36609,184274,49280,49280,49280,48996,48995,48995,48156,48156,48156,48114,48114,48114,87941,87941,87941,90027,89654,89654,51988,51988,51988,51977,51977,51977,47841,47625,47505
misc,mark3jac080sc,36609,184274,49280,49280,49280,48996,48995,48995,48156,48156,48156,48114,48114,48114,87941,87941,87941,90027,89654,89654,52266,52266,52266,52266,52266,52266,47846,47548,47446
misc,mark3jac100,45769,230594,60414,60414,60414,59960,59958,59958,58328,58328,58328,58306,58306,58306,111636,111636,111636,114619,114065,114065,63969,63969,63969,63969,63969,63969,58057,57725,57654
misc,mark3jac100sc,45769,230594,60414,60414,60414,59960,59958,59958,58328,58328,58328,58306,58306,58306,111636,111636,111636,114619,114065,114065,64062,64062,64062,64062,64062,64062,58045,57775,57664
misc,mark3jac120,54929,276914,70783,70783,70783,70392,70391,70391,69001,69001,69001,68968,68968,68968,133578,133578,133578,137036,136807,136807,75738,75738,75738,75738,75738,75738,68720,68412,68319
misc,mark3jac120sc,54929,276914,70783,70783,70783,70392,70391,70391,69001,69001,69001,68968,68968,68968,133578,133578,133578,137036,136807,136807,75816,75816,75816,75816,75816,75816,68808,68411,68294
misc,mark3jac140,3490,15989,6005,6005,6005,5873,5873,5873,5779,5779,5779,5754,5754,5754,7528,7528,7528,7414,7414,7414,5887,5887,5887,5887,5887,5887,5574,5557,5551
misc,mark3jac140sc,64089,323234,80889,80889,80889,80531,80529,80529,79743,79743,79743,79728,79728,79728,156916,155120,155120,159662,159594,159594,89730,89730,89730,89679,89679,89679,79549,79136,78871
misc,matrix-9,103430,1012440,129760,129760,129760,130461,130365,130345,134453,134453,134453,134442,134442,134442,212116,211315,211315,211066,211066,211066,126754,126754,126754,126754,126754,126754,126589,126523,126517
misc,mc2depi,525825,1574400,537463,537463,537463,537391,537391,537391,540637,540637,540637,540588,540588,540588,555776,555776,555776,555776,555776,555776,538040,538040,538040,538024,538024,538024,537425,536816,536482
misc,meg1,2904,58046,10095,10095,10095,9836,9836,9835,8505,8505,8505,8478,8478,8477,14730,14730,14730,14634,14634,14634,9596,9596,9596,9596,9596,9596,8205,8079,7991
misc,meg4,5860,20518,8469,8469,8469,8288,8288,8288,7117,7117,7117,7107,7107,7107,7161,7161,7161,7155,7155,7155,7677,7677,7677,7677,7677,7677,6972,6972,6972
misc,memplus,17758,54196,20865,20865,20865,20691,20691,20691,19352,19352,19352,19241,19240,19240,20506,20506,20506,20694,20694,20694,21433,21433,21433,21430,21430,21430,19204,19196,19189
misc,mesh-deform,243416,853829,246439,246439,246439,246455,246455,246455,250827,250827,250827,250827,250827,250827,253249,252293,252293,251189,251114,251114,247028,247028,247028,247027,247027,247027,246422,246406,246404
misc,mhd1280a,1266,26130,3520,3520,3520,3596,3596,3596,2998,2998,2998,2957,2957,2957,5804,5804,5804,5814,5814,5814,3214,3214,3214,3214,3214,3214,2942,2942,2942
misc,mhd1280b,1266,10749,2010,2010,2010,1931,1931,1931,1733,1733,1733,1733,1733,1733,1884,1884,1884,1866,1866,1866,2001,2001,2001,2001,2001,2001,1733,1733,1733
misc,mhd3200a,3193,41175,4089,4089,4089,4127,4127,4127,3953,3953,3953,3952,3952,3952,15572,15572,15572,15538,15538,15538,4398,4398,4398,4395,4395,4395,3952,3952,3952
misc,mhd3200b,3193,7558,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3387,3387,3387,3387,3387,3387,3403,3403,3403,3401,3401,3401,3299,3299,3299
misc,mhd4800a,4793,61886,5620,5620,5620,5631,5631,5631,5539,5539,5539,5518,5518,5518,22479,22479,22479,22928,22426,22426,6192,6192,6192,6157,6157,6157,5512,5512,5512
misc,mhd4800b,4793,11360,4907,4907,4907,4903,4903,4903,4901,4901,4901,4900,4900,4900,5004,5004,5004,4988,4988,4988,5007,5007,5007,5007,5007,5007,4899,4899,4899
misc,mimo28x28-system,12723,23252,13215,13215,13215,13204,13204,13204,13137,13137,13137,13139,13139,13139,13447,13447,13447,13425,13425,13425,13412,13412,13412,13415,13415,13415,13126,13126,13126
misc,mimo46x46-system,12722,23251,13166,13166,13166,13156,13156,13156,13171,13171,13171,13171,13171,13171,13440,13440,13440,13416,13416,13416,13388,13388,13388,13392,13392,13392,13138,13132,13132
misc,mimo8x8-system,12777,23329,13238,13238,13238,13233,13233,13233,13209,13209,13209,13204,13204,13204,13491,13491,13491,13481,13481,13481,13452,13452,13452,13432,13432,13432,13176,13170,13170
misc,minsurfo,40804,81408,43749,43749,43749,43747,43747,43747,43785,43785,43785,43785,43785,43785,53101,53101,53101,53101,53101,53101,43731,43731,43731,43715,43715,43715,43573,43502,43502
misc,misc-jung-code-dep,6120,50290,10386,10386,10386,10132,10120,10109,10304,10304,10304,10273,10265,10239,11056,11056,11056,11015,11015,11015,11786,11786,11786,11782,11780,11780,9386,9173,9173
misc,misc-Reuters911,17505,147991,53243,53243,53243,51379,51373,51373,55601,55601,55601,55761,55760,55649,68958,68958,68958,68956,68955,68955,46973,46973,46973,46973,46973,46973,46962,46922,46893
misc,mixtank-new,29957,982542,49591,49591,49591,50008,50008,50002,90508,90066,90066,93936,91440,91440,158460,151511,151511,159227,157064,157064,47610,47610,47610,47609,47609,47609,47609,44962,44961
misc,mk10-b3,7875,18900,14970,14970,14970,14966,14966,14966,14043,14043,14043,14034,14034,14034,16154,16154,16154,16117,16117,16117,15279,15279,15279,15279,15279,15279,13709,13550,13489
misc,mk11-b2,7920,20790,15817,15817,15817,15812,15812,15812,14327,14327,14327,14327,14327,14327,16040,16040,16040,16016,16016,16016,15242,15242,15242,15242,15242,15242,14022,13782,13520
misc,mk11-b3,24255,69300,48140,48140,48140,48173,48172,48172,46105,46105,46105,46111,46110,46110,50525,50525,50525,50473,50473,50473,48284,48284,48284,48284,48284,48284,45849,45359,44894
misc,mk11-b4,27720,51975,43439,43439,43439,43430,43430,43430,39996,39996,39996,39988,39988,39988,48560,48560,48560,48571,48571,48571,44185,44185,44185,44185,44185,44185,39855,39713,39448
misc,mk11-b4b,26775,47250,39349,39349,39349,39337,39337,39337,37757,37757,37757,37756,37756,37756,44454,44454,44454,44435,44435,44435,41205,41205,41205,41205,41205,41205,37543,37355,37073
misc,mk12-b2,15345,41580,30270,30270,30270,30289,30288,30288,25119,25119,25119,25119,25119,25119,29976,29976,29976,29980,29980,29980,28894,28894,28894,28894,28894,28894,24749,24454,24215
misc,mk12-b3,65835,207900,130677,130677,130677,130904,130883,130878,126463,126463,126463,126460,126459,126459,134859,134859,134859,134858,134858,134858,130021,130021,130021,130021,130021,130021,126047,125621,124857
misc,mk12-b4,114345,311850,205158,205158,205158,205277,205236,205236,190773,190773,190773,190769,190766,190766,229062,229062,229062,228997,228997,228997,211637,211637,211637,211637,211637,211637,190392,189186,187911
misc,mk12-b5,72765,62370,72765,72765,72765,72765,72765,72765,72765,72765,72765,72765,72765,72765,73024,73024,73024,72765,72765,72765,72806,72806,72806,72806,72806,72806,72765,72765,72765
misc,mk13-b5,405405,810810,610994,610925,610925,610945,610932,610882,562957,562957,562957,562953,562950,562950,679893,679893,679893,682327,680227,680227,602784,602784,602784,602784,602784,602784,562898,561874,560080
misc,mod2,101183,199810,111173,111173,111173,111264,111262,111262,108992,108992,108992,108975,108975,108975,126839,126839,126839,133387,126876,126876,114252,114252,114252,114222,114222,114222,108703,108541,108451
misc,model10,21219,150372,29837,29837,29837,29647,29639,29639,26588,26588,26588,26575,26575,26575,46104,46104,46104,46497,44442,44435,33451,33451,33451,33442,33442,33442,26502,26465,26424
misc,model3,6174,23974,8587,8587,8587,8593,8593,8593,8013,8013,8013,8006,8006,8006,12980,12980,12980,12937,12937,12937,10297,10297,10297,10297,10297,10297,7948,7927,7913
misc,model4,6299,45753,10562,10562,10562,10558,10557,10557,9327,9327,9327,9321,9321,9321,16572,16572,16572,16375,16374,16374,11758,11758,11758,11780,11780,11780,9230,9178,9175
misc,model5,13546,89925,22873,22873,22873,23042,23041,23041,18109,18109,18109,18097,18097,18097,25181,25181,25181,25554,25248,25248,22659,22659,22659,22659,22659,22659,18005,17965,17952
misc,model6,7383,27628,10632,10632,10632,10583,10583,10583,9624,9624,9624,9616,9616,9616,13030,13030,13030,13024,13024,13024,10966,10966,10966,10968,10968,10968,9511,9459,9448
misc,model7,12918,51027,16339,16339,16339,16305,16305,16305,15510,15510,15510,15494,15494,15494,24717,24717,24717,24438,24435,24435,19014,19014,19014,18919,18919,18919,15440,15405,15365
misc,model8,9360,25277,12570,12570,12570,12515,12515,12515,11934,11934,11934,11931,11931,11931,16413,16413,16413,16315,16308,16308,13580,13580,13580,13555,13555,13555,11796,11716,11707
misc,model9,13726,55956,17146,17146,17146,17130,17130,17130,15985,15985,15985,15946,15946,15946,23424,23424,23424,22563,22563,22563,17995,17995,17995,17930,17930,17930,15928,15910,15904
misc,moreno-blogs,1490,1109305,93784,93784,93784,68171,27151,27151,19487,19487,19487,17867,17867,17867,60177,60177,60177,58208,58173,58173,21937,21937,21937,21934,21934,21934,16875,16439,16342
misc,movielens-10m-ti,16528,71067,39002,39002,39002,38416,38415,38415,40512,40512,40512,40264,40151,40129,49567,49567,49567,49569,49569,49569,36741,36741,36741,36741,36741,36741,36491,36405,36405
misc,movielens-10m-ui,7601,55384,21218,21218,21218,20733,20730,20727,22949,22949,22949,22672,22595,22519,25875,25875,25875,25875,25875,25875,20493,20493,20493,20493,20493,20493,19499,19019,19019
misc,movielens-10m-ut,16528,43734,26750,26750,26750,26506,26506,26506,27498,27498,27498,27395,27391,27391,29337,29337,29337,29338,29337,29337,27123,27123,27123,27122,27122,27122,25990,25096,24581
misc,movielens-1m,6040,987091,270390,270390,270390,139119,74004,73950,66614,66614,66614,59021,58765,58765,113850,113850,113850,113454,113377,113339,53102,53102,53102,53100,53100,53100,53096,53095,53095
misc,mplate,5962,68114,11548,11548,11548,11338,11338,11338,13452,13452,13452,13414,13379,13379,30346,30346,30346,31193,31193,31193,11115,11115,11115,11115,11115,11115,11074,11074,11074
misc,mri1,180173,589824,188058,188058,188058,187829,187829,187829,200412,192091,192091,190587,190587,190586,276455,276455,276455,276067,276067,276067,190042,190042,190042,189964,189964,189964,187840,187373,186864
misc,mri2,167837,569160,173448,173448,173448,173056,173055,173041,178140,174688,174688,174318,174318,174315,179243,179243,179243,179247,179247,179247,174545,174545,174545,174543,174515,174515,173133,172783,172651
misc,msc01050,1050,14053,2774,2774,2774,2763,2763,2763,2477,2477,2477,2424,2424,2424,4215,4215,4215,4217,4210,4210,2622,2622,2622,2622,2622,2622,2356,2356,2356
misc,msc01440,1440,22415,3317,3317,3317,3407,3407,3407,3171,3171,3171,3111,3111,3111,11341,11341,11341,10030,10030,10030,3365,3365,3365,3365,3365,3365,3077,3077,3077
misc,msc04515,4515,46596,6459,6459,6459,6510,6510,6510,7039,7039,7039,6986,6986,6986,13194,13194,13194,12769,12769,12769,6570,6570,6570,6570,6570,6570,6361,6361,6360
misc,msc10848,10848,609465,21071,21071,21071,20916,20883,20883,21011,21011,21011,20757,20747,20747,47202,47202,47202,55674,53072,53072,18426,18426,18426,18421,18421,18417,18408,18367,18367
misc,msc23052,23052,565881,29531,29531,29531,30036,29919,29917,29936,29936,29936,29851,29851,29851,46718,46718,46718,47572,47572,45632,30316,30316,30316,30315,30315,30315,29237,29039,29037
misc,mult-dcop-01,25187,116702,34771,34771,34771,34205,34205,34197,36466,36466,36466,36496,36459,36413,35519,35519,35519,35464,35464,35464,32891,32891,32891,32889,32889,32889,32130,32032,32032
misc,mult-dcop-02,25187,116702,34771,34771,34771,34205,34205,34197,36466,36466,36466,36496,36465,36413,35519,35519,35519,35464,35464,35464,35037,35037,35037,35037,35037,35037,33182,31936,31876
misc,mult-dcop-03,25187,116682,33871,33871,33871,33650,33647,33647,36413,36413,36413,36490,36459,36391,35541,35541,35541,35565,35565,35565,32170,32170,32170,32170,32170,32170,31844,31798,31798
misc,munmun-digg-reply,30360,85155,63008,63008,63008,62548,62471,62471,62981,62981,62981,62981,62791,62789,72029,72029,72029,72755,72755,72755,58612,58612,58612,58612,58612,58612,58138,57215,56853
misc,munmun-twitter-social,465017,833540,537474,537474,537474,536748,536745,536698,535794,535759,535759,535634,535634,535620,525619,525619,525619,525619,525619,525619,520923,520923,520923,520919,520919,520919,520919,520565,520059
misc,Muu,7102,81516,8913,8913,8913,8740,8740,8740,9396,9396,9396,9281,9281,9281,12790,12790,12790,13407,13407,13407,8975,8975,8975,8926,8926,8926,8566,8566,8566
misc,n2c6-b5,7948,29670,20670,20670,20670,20661,20661,20661,16332,16332,16332,16331,16331,16331,23431,23431,23431,23445,23445,23445,20424,20424,20424,20424,20424,20424,15926,15851,15848
misc,n2c6-b6,10660,40005,26937,26937,26937,26941,26941,26941,21806,21806,21806,21805,21805,21805,32222,32222,32222,32230,32230,32230,26915,26915,26915,26915,26915,26915,21367,21296,21276
misc,n2c6-b7,9705,31920,20727,20727,20727,20777,20777,20777,19032,19032,19032,19028,19028,19028,24600,24600,24600,24532,24532,24532,21638,21638,21638,21638,21638,21638,18634,18216,18091
misc,n3c6-b5,8008,30030,20856,20856,20856,20876,20876,20876,16426,16426,16426,16417,16417,16417,21927,21927,21927,21921,21921,21921,20574,20574,20574,20574,20574,20574,15968,15923,15923
misc,n3c6-b6,11440,45045,29990,29990,29990,29997,29997,29997,23389,23389,23389,23377,23377,23377,31730,31730,31730,31730,31730,31730,30420,30420,30420,30420,30420,30420,22998,22929,22907
misc,n3c6-b7,6435,25740,18668,18668,18668,18667,18667,18667,13779,13779,13779,13754,13754,13754,19163,19163,19163,19187,19187,19187,18981,18981,18981,18981,18981,18981,13288,13263,13252
misc,n3c6-b8,11370,44415,29736,29736,29736,29763,29763,29763,23698,23698,23698,23696,23696,23696,31590,31590,31590,31641,31641,31641,29709,29709,29709,29709,29709,29709,23090,22868,22835
misc,n3c6-b9,7446,25110,17451,17451,17451,17446,17446,17446,15551,15551,15551,15551,15551,15551,18991,18991,18991,18978,18978,18978,17653,17653,17653,17653,17653,17653,15343,15247,15113
misc,n4c5-b5,7192,26040,18092,18092,18092,18111,18111,18111,14720,14720,14720,14718,14718,14718,20257,20257,20257,20235,20235,20235,17773,17773,17773,17773,17773,17773,14233,14173,14122
misc,n4c5-b6,9075,33145,22015,22015,22015,22019,22019,22019,18211,18211,18211,18209,18209,18209,24842,24842,24842,24831,24831,24831,22161,22161,22161,22161,22161,22161,17837,17749,17702
misc,n4c5-b7,8370,29080,18997,18997,18997,19000,19000,19000,16577,16577,16577,16574,16574,16574,23021,23021,23021,22949,22949,22949,19306,19306,19306,19306,19306,19306,16263,16171,16102
misc,n4c5-b8,5530,17055,11513,11513,11513,11479,11479,11479,10330,10330,10330,10327,10327,10327,13704,13704,13704,13646,13646,13646,11681,11681,11681,11681,11681,11681,10118,10066,10012
misc,n4c6-b10,318960,1456422,631057,613116,613116,618157,618157,618049,600236,600236,600236,600624,600624,600620,844241,844034,844034,844011,843613,843610,714257,714257,714257,714257,714257,714257,600724,598588,596241
misc,n4c6-b11,201637,830820,339726,339726,339726,343027,343027,342972,351802,351802,351802,351797,351796,351789,481163,481163,481163,480225,480225,480225,417543,417543,417543,417543,417543,417543,343232,334864,325978
misc,n4c6-b12,94840,332865,141885,141885,141885,142002,141992,141992,149651,149651,149651,149647,149645,149645,204016,204016,204016,203370,203194,203194,173347,173347,173347,173195,173195,173195,140542,137355,134206
misc,n4c6-b13,31905,88200,42384,42384,42384,42094,42094,42094,44537,44537,44537,44516,44516,44516,57613,57613,57613,57549,57549,57549,50141,50141,50141,50093,50093,50093,40978,40173,40086
misc,n4c6-b3,7300,23880,17512,17512,17512,17502,17502,17502,14700,14700,14700,14699,14699,14699,17294,17294,17294,17280,17280,17280,16571,16571,16571,16571,16571,16571,14508,14390,14266
misc,n4c6-b4,26028,100290,63127,63127,63127,63140,63131,63131,52316,52316,52316,52315,52315,52315,65742,65742,65742,65937,65937,65937,60888,60888,60888,60888,60888,60888,51915,51529,51307
misc,n4c6-b5,71871,310878,176587,176587,176587,176664,176636,176615,144731,144731,144731,144710,144710,144709,192596,192596,192596,193222,193222,193222,170700,170700,170700,170700,170700,170700,144351,143007,141913
misc,n4c6-b6,155928,728805,382903,382903,382903,383573,383559,383519,315053,315053,315053,315042,315035,315026,438833,438833,438833,438833,438833,438833,368491,368491,368491,368491,368491,368491,314490,314154,309578
misc,n4c6-b7,267330,1305720,648288,643587,643587,644531,644531,644452,535066,535066,535066,535112,535109,535097,758673,758673,758673,759918,759918,759918,621221,621221,621221,621221,621221,621221,535143,532676,528089
misc,n4c6-b8,362110,1790055,851379,842325,842325,842761,842761,842750,713631,713218,713218,713243,713239,713227,1006712,1006712,1006712,1008544,1007256,1004796,825630,825630,825630,825630,825630,825630,713235,711813,707156
misc,n4c6-b9,385453,1865580,831324,823337,823337,825772,825772,825756,747868,747537,747537,747518,747516,747510,1090032,1090032,1090032,1090949,1090949,1090949,890832,890832,890832,890832,890832,890832,747527,746671,742536
misc,Na5,5832,149899,21884,21884,21884,23069,23069,23069,17259,17259,17259,17335,17335,17332,48695,48695,48695,46191,46191,46191,19362,19362,19362,19362,19362,19362,16680,16314,16266
misc,nasa1824,1824,18692,3226,3226,3226,3141,3141,3141,3654,3654,3654,3638,3638,3638,4769,4769,4769,4538,4538,4538,3088,3088,3088,3086,3086,3086,3038,3038,3038
misc,nasa2146,2146,35052,3971,3971,3971,4097,4097,4097,4205,4205,4205,4155,4155,4155,4985,4985,4985,4997,4997,4997,3962,3962,3962,3962,3962,3962,3941,3941,3941
misc,nasa2910,2910,85693,7531,7531,7531,6753,6753,6753,5629,5629,5629,5592,5592,5592,12628,12628,12628,13751,13497,13497,5702,5702,5702,5702,5702,5702,5580,5580,5580
misc,nasa4704,4704,50026,6881,6881,6881,6854,6854,6854,7795,7795,7795,7760,7760,7760,10183,10183,10183,10579,9937,9937,7125,7125,7125,7125,7125,7125,6681,6681,6681
misc,nasasrb,54870,1311227,65856,65856,65856,67045,67041,67034,74100,74100,74100,74083,74083,74083,199878,198492,198492,201046,200949,200189,70955,70955,70955,70955,70955,70955,65504,65116,65100
misc,ncvxbqp1,50000,149984,54423,54423,54423,54394,54394,54394,54567,54567,54567,54546,54546,54546,90313,90313,90313,92775,92143,91612,67027,67027,67027,67027,67027,67027,54167,54062,54057
misc,ncvxqp1,12111,33426,17665,17665,17665,17598,17598,17598,18427,18427,18427,18421,18421,18421,23245,23245,23245,23730,23692,23692,17643,17643,17643,17643,17643,17643,17087,16921,16921
misc,ncvxqp3,75000,224982,91625,91625,91625,91340,91338,91338,92262,92262,92262,92206,92206,92206,169687,169650,169650,165871,164085,164038,102614,102614,102614,102614,102614,102614,91169,90066,88926
misc,ncvxqp5,62500,187483,76472,76472,76472,76317,76317,76317,77265,77265,77265,77266,77255,77255,137226,136694,136694,128393,127470,127275,83809,83809,83809,83809,83809,83809,76121,75461,74968
misc,ncvxqp7,87500,262481,106167,106167,106167,105857,105852,105852,107416,107416,107416,107335,107333,107333,198628,198430,198430,190182,189140,189014,123352,123352,123352,123352,123352,123352,105657,105012,104051
misc,ncvxqp9,16000,22493,17578,17578,17578,17571,17571,17571,17552,17552,17552,17550,17550,17550,20854,20854,20854,20859,20859,20859,18836,18836,18836,18832,18832,18832,17482,17468,17451
misc,nd3k,9000,1635345,104570,104570,104570,87575,39030,39027,49853,49853,49853,45963,41909,41909,217685,217685,217685,219131,219037,205187,32837,32837,32837,32837,32837,32837,32830,32756,32684
misc,nd6k,8167,266031,16650,16650,16650,17122,17115,17115,15420,15420,15420,15661,15389,15389,53474,53474,53474,59291,59248,58674,15373,15373,15373,15373,15373,15373,15297,15283,15283
misc,nemeth01,9506,357774,12012,12012,12012,12131,12131,12131,11900,11900,11900,11897,11897,11897,78215,77394,77394,79826,79280,79280,12717,12717,12717,12717,12717,12717,11897,11897,11897
misc,nemeth02,9506,192651,10937,10937,10937,10981,10981,10981,10949,10949,10949,10949,10949,10949,65894,65894,65894,68485,68471,67623,11244,11244,11244,11244,11244,11244,10929,10929,10929
misc,nemeth03,9506,192651,10937,10937,10937,10981,10981,10981,10949,10949,10949,10949,10949,10949,65894,65894,65894,68485,68471,67623,11394,11394,11394,11394,11394,11394,10928,10928,10928
misc,nemeth04,9506,192651,10937,10937,10937,10981,10981,10981,10949,10949,10949,10949,10949,10949,65894,65894,65894,68485,68471,67623,11286,11286,11286,11286,11286,11286,10929,10929,10929
misc,nemeth05,9506,192651,10937,10937,10937,10981,10981,10981,10949,10949,10949,10949,10949,10949,65894,65894,65894,68484,68471,67623,11359,11359,11359,11359,11359,11359,10929,10929,10929
misc,nemeth06,9506,192651,10937,10937,10937,10981,10981,10981,10949,10949,10949,10949,10949,10949,65894,65894,65894,68485,68471,67623,11405,11405,11405,11301,11301,11301,10929,10929,10929
misc,nemeth07,9506,192653,10937,10937,10937,10978,10978,10978,10963,10963,10963,10963,10963,10963,66047,66047,66047,68473,68448,67588,11279,11279,11279,11255,11255,11255,10923,10923,10923
misc,nemeth08,9506,192655,10929,10929,10929,10964,10964,10964,10961,10961,10961,10961,10961,10961,66040,66040,66040,68300,68300,67446,11273,11273,11273,11273,11273,11273,10924,10924,10924
misc,nemeth09,9506,193000,10964,10964,10964,10984,10984,10984,10980,10980,10980,10980,10980,10980,67218,67218,67218,69278,69247,69247,11383,11383,11383,11383,11383,11383,10960,10960,10960
misc,nemeth10,9506,195971,10936,10936,10936,10987,10987,10987,10934,10934,10934,10934,10934,10934,68364,67127,67127,69627,69627,69627,11330,11330,11330,11330,11330,11330,10922,10918,10906
misc,nemeth11,9506,199379,10953,10953,10953,11071,11071,11071,10925,10925,10925,10925,10925,10925,72253,72253,72253,72568,72568,72568,11365,11365,11365,11365,11365,11365,10902,10902,10899
misc,nemeth12,9506,218656,11132,11132,11132,11222,11222,11222,11076,11076,11076,11076,11076,11076,75447,75447,75447,75857,75857,75857,11708,11708,11708,11701,11701,11701,11076,11076,11076
misc,nemeth13,9506,232483,11242,11242,11242,11245,11245,11245,11224,11224,11224,11224,11224,11224,72467,72467,72467,73232,73232,73232,11601,11601,11601,11601,11601,11601,11224,11220,11208
misc,nemeth14,9506,243319,11294,11294,11294,11312,11312,11312,11237,11237,11237,11237,11237,11237,79180,79180,79180,79442,79419,79419,11883,11883,11883,11883,11883,11883,11224,11224,11224
misc,nemeth15,9506,265148,11502,11502,11502,11464,11464,11464,11469,11469,11469,11466,11466,11466,70211,70211,70211,71482,71482,71482,12109,12109,12109,12049,12049,12049,11463,11463,11463
misc,nemeth16,9506,288753,11623,11623,11623,11613,11613,11613,11577,11577,11577,11577,11577,11577,66950,66950,66950,67251,67179,67179,12253,12253,12253,12253,12253,12253,11577,11577,11577
misc,nemeth17,9506,310057,11756,11756,11756,11715,11715,11715,11724,11724,11724,11724,11724,11724,80851,80851,80851,81917,81883,81883,12229,12229,12229,12229,12229,12229,11691,11691,11691
misc,nemeth18,9506,342864,11986,11986,11986,11950,11950,11950,11909,11909,11909,11907,11907,11907,71934,71934,71934,73232,73161,73161,12860,12860,12860,12822,12822,12822,11900,11900,11900
misc,nemeth19,9506,404398,12461,12461,12461,12425,12425,12425,12398,12398,12398,12398,12398,12398,82275,82275,82275,83410,83410,83410,13236,13236,13236,13236,13236,13236,12397,12397,12397
misc,nemeth20,9506,481182,13146,13146,13146,12960,12960,12960,12922,12922,12922,12922,12922,12922,96857,96857,96857,98919,98315,98291,13806,13806,13806,13806,13806,13806,12918,12918,12918
misc,nemeth21,9506,582120,14485,14485,14485,13821,13821,13821,13526,13526,13526,13526,13526,13526,111839,111839,111839,111161,110999,110999,14383,14383,14383,14383,14383,14383,13524,13524,13524
misc,nemeth22,9506,674663,19727,19727,19727,14493,14493,14493,14277,14277,14277,14188,14188,14188,108572,108572,108572,108135,106610,106579,15717,15717,15717,15717,15717,15717,14181,14181,14181
misc,nemeth23,9506,748652,21080,21080,21080,15100,15100,15100,14834,14834,14834,14717,14717,14717,121237,121237,121237,120843,119827,119782,15761,15761,15761,15761,15761,15761,14705,14701,14701
misc,nemeth24,9506,748522,21333,21333,21333,15116,15116,15116,14979,14979,14979,14738,14738,14738,127062,127062,127062,127523,126570,126570,16042,16042,16042,16042,16042,16042,14732,14732,14732
misc,nemeth25,9506,751126,21299,21299,21299,15093,15093,15093,14991,14991,14991,14744,14744,14744,126874,126874,126874,126606,125568,125568,16186,16186,16186,16186,16186,16186,14731,14731,14731
misc,nemeth26,9506,751127,21360,21360,21360,15092,15092,15092,14941,14941,14941,14754,14754,14754,126885,126885,126885,126705,125604,125604,16021,16021,16021,16020,16020,15885,14747,14745,14745
misc,nemsemm1,79255,1053986,86667,86667,86667,86547,86239,86198,82514,82514,82514,82513,82513,82513,85633,85633,85633,86128,86128,85780,120898,120898,120898,120938,120898,120898,82486,82466,82458
