The table shows the |V(S)| value for each algorithm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domains,Instance Name,Vertex,Edge,METIS_G,,,METIS_F,,,SPAC_G,,,SPAC_F,,,SHEEP_G,,,SHEEP_F,,,NE_G,,,NE_F,,,ParHS-BGEP,,
,,,,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s
dimacs10,rgg-n-2-19-s0,524284,3269766,534512,534129,534129,533966,533966,533966,535919,535771,535771,535766,535766,535766,1364392,1361414,1353045,1364865,1358433,1358433,551355,551355,551355,551338,551338,551338,533991,533878,533198
dimacs10,t60k,60005,89440,62453,62453,62453,62453,62453,62453,62507,62507,62507,62506,62506,62506,64349,64349,64349,64303,64303,64303,62902,62902,62902,62865,62865,62865,62399,62399,62383
dimacs10,tech-caidaRouterLevel,192244,609066,223340,223340,223340,222344,222340,222310,233813,233638,233638,228997,228992,228810,331665,327561,327561,333232,332919,330659,236312,236312,236312,236261,236261,236261,222366,221688,220217
dimacs10,wing,62032,121544,70007,70007,70007,69995,69995,69995,70016,70016,70016,70012,70012,70012,92984,92984,92984,90151,89701,89701,71473,71473,71473,71419,71419,71419,69701,69336,69186
dimacs10,wing-nodal,10937,75488,15969,15969,15969,15880,15880,15880,16902,16902,16902,16846,16846,16846,55459,54149,54149,56602,50900,50894,15906,15906,15906,15906,15906,15906,15677,15658,15658
email,email-dnc,1867,4385,2752,2752,2752,2724,2724,2724,2892,2892,2892,2894,2894,2894,2977,2977,2977,2939,2939,2939,2919,2919,2919,2919,2919,2919,2591,2584,2584
email,email-enron-large,33696,180811,51551,51551,51551,50598,50596,50596,56484,56484,56484,56043,56041,56041,75810,75810,75810,75810,75810,75810,51099,51099,51099,51098,51098,51098,50057,49597,48344
email,email-EU,32430,54397,38043,38043,38043,38012,38011,38005,40023,40023,40023,39975,39949,39949,40837,40837,40837,40603,40603,40603,38352,38352,38352,38349,38349,38349,37696,37301,36933
email,email-univ,1133,5451,2851,2851,2851,2823,2823,2823,3067,3067,3067,3047,3047,3047,3577,3577,3577,3736,3736,3736,2795,2795,2795,2795,2795,2795,2667,2667,2667
graph500,graph500-scale18-ef16-adj,174147,3800348,1411355,620770,620272,1289846,604498,604413,834139,781490,772744,808911,760551,760447,738220,738220,738220,737325,736918,736808,497040,497040,497040,497040,497040,497040,497040,497040,497026
graph500,graph500-scale19-ef16-adj,335318,7729675,2821028,1177844,1162285,2761825,1252615,1143193,1582749,1467353,1418918,1606389,1398462,1395568,1364992,1364992,1364992,1365019,1364725,1364672,933890,933890,933890,933890,933890,933890,933890,933890,933549
heter,actor,766038,16508487,3383037,1651408,1626494,3446424,2505549,1565413,1992011,1831601,1766548,2082024,1855787,1724220,3203261,3203127,3203127,3202357,3200847,3200698,1449223,1449211,1449211,1449204,1449204,1449204,1449327,1449198,1438742
heter,bibsonomy,977914,3754828,1206038,1188663,1188663,1561623,1182952,1182416,1226441,1210552,1210552,1222014,1211683,1211443,1316931,1316910,1316910,1316686,1316576,1316558,1327289,1327289,1327289,1327289,1327283,1327283,1248558,1186058,1175885
heter,citeulike-u2p-u2t,907761,1381187,994907,994313,994313,1019346,991222,991212,1013872,1013495,1013495,1013685,1013483,1013473,1024623,1024623,1024623,1024624,1024623,1024623,994885,994885,994885,994885,994885,994885,994885,989993,987957
heter,dbpedia,495936,921710,580219,578267,578267,583212,577376,577340,590678,590136,590136,591220,590829,590820,549532,549532,549532,549532,549532,549532,588225,588225,588225,588225,588225,588225,549532,548719,546977
heter,digg,283183,4559024,1289930,635121,632147,1316938,676835,632261,643919,626810,626517,649748,631056,629976,734641,734641,734641,734436,734019,733921,588358,588358,588358,588358,588358,588358,588358,588283,587745
heter,epinions,885246,14260911,4870242,3665320,1514118,4963000,3938511,1502488,1760829,1699821,1693116,1757705,1694851,1694781,1687599,1687560,1687560,1687579,1687350,1687205,1474266,1474266,1474266,1474266,1474266,1474266,1474266,1474266,1463010
heter,movielens-10m,97083,10168182,2044139,2044139,2044139,1865231,1213699,394174,377511,377511,377511,358681,351170,347433,533218,533218,533218,533165,532156,530612,326081,326081,326081,326081,326081,326081,326082,326062,325829
heter,movielens-10m-noRatings,28138,170398,64390,64390,64390,63186,63146,63146,70671,70671,70671,70326,70234,69988,80912,80912,80912,80769,80769,80769,60542,60542,60542,60542,60542,60542,60274,58934,58144
heter,visualize-us,594559,3247673,1232615,871939,871939,1392750,863888,863870,931925,908865,908788,958062,909856,909843,913109,913109,913109,912637,912538,912527,842430,842430,842430,842431,842430,842430,842430,837701,830683
heter,yahoo-msg,100058,739815,171838,171579,171579,169670,169663,169648,234684,230861,230861,224460,224115,224113,346729,346615,346615,345417,345417,345417,177616,177616,177616,177615,177615,177615,169731,167043,164454
ia,ia-dbpedia-team-bi,365492,780132,422286,421666,421666,420911,420907,420859,442775,442524,442524,442810,442798,442628,475580,475580,475580,475511,475511,475511,450136,450136,450136,450134,450134,450134,420976,419498,417392
ia,ia-email-EU,32430,54397,38074,38074,38074,38068,38065,38065,39658,39658,39658,39309,39302,39239,40837,40837,40837,40603,40603,40603,38418,38418,38418,38418,38418,38418,37785,37287,36839
ia,ia-email-univ,1133,5451,2827,2827,2827,2813,2813,2813,2942,2942,2942,2941,2941,2941,3577,3577,3577,3736,3736,3736,2808,2808,2808,2808,2808,2808,2652,2652,2652
ia,ia-enron-large,33696,180811,51551,51551,51551,50598,50596,50596,56484,56484,56484,56043,56041,56041,75810,75810,75810,75810,75810,75810,51162,51162,51162,51161,51161,51161,50026,49657,48534
ia,ia-escorts-dynamic,10106,39016,23549,23549,23549,23283,23282,23282,24253,24253,24253,24188,24188,24188,30378,30378,30378,30715,30715,30715,23120,23120,23120,23120,23120,23120,22604,21565,21457
ia,ia-fb-messages,1266,6451,3979,3979,3979,3923,3923,3923,4282,4282,4282,4266,4266,4266,4992,4992,4992,5154,5154,5154,3732,3732,3732,3732,3732,3732,3476,3476,3476
ia,ia-frwikinews-user-edits,25042,68675,28791,28791,28791,28750,28748,28737,29033,29033,29033,29049,29049,29049,27599,27599,27599,27599,27599,27599,48135,48135,48135,48137,48137,48135,27497,27497,27437
ia,ia-reality,6809,7680,7311,7311,7311,7317,7317,7317,7271,7271,7271,7264,7264,7264,7417,7417,7417,7413,7413,7413,7444,7444,7444,7439,7439,7439,7218,7201,7190
ia,ia-wikiquote-user-edits,93445,238421,119997,119997,119997,118683,118680,118675,121133,121133,121133,121176,121139,121015,118830,118830,118830,118830,118830,118829,139572,139572,139572,139573,139573,139573,117786,114121,113614
ia,ia-wiki-Talk,92117,360767,162923,162923,162923,161174,161127,161111,173816,173548,173548,171091,171022,171022,195606,195606,195606,195125,195095,195095,154721,154721,154721,154721,154721,154721,154721,154535,154524
ia,ia-wiki-trust-dir,138587,715883,202675,202675,202675,200318,200097,200051,238283,237476,237476,237424,237365,237280,296229,296055,296055,295946,295935,295930,203744,203744,203744,203744,203744,203744,202424,196957,193289
misc,144,144649,1074393,167820,167820,167820,167590,167590,167588,170299,170299,170299,169928,169926,169925,704455,695010,688731,701840,701661,690855,172600,172600,172600,172592,172592,172592,167689,167153,166293
misc,162bit,7082,37118,22947,22947,22947,22346,22338,22338,22757,22757,22757,22742,22736,22736,26185,26185,26185,26075,26033,25974,20746,20746,20746,20746,20746,20746,19798,19088,19044
misc,176bit,14591,82270,46631,46631,46631,45181,45135,45127,45933,45933,45933,45927,45913,45859,53504,53504,53504,53213,53198,53189,41562,41562,41562,41562,41562,41562,40994,39296,38550
misc,192bit,26784,154303,81565,81565,81565,79514,79448,79424,79945,79945,79945,80150,80130,80035,93061,93061,93061,92846,92763,92760,72571,72571,72571,72571,72571,72571,72225,70669,67954
misc,208bit,47621,299756,145115,145088,145088,141288,141194,141028,141187,141187,141187,141198,141192,141189,166265,165727,165727,166089,165979,165979,128471,128471,128471,128471,128471,128471,128297,127296,123059
misc,2cubes-sphere,101492,772886,124974,124974,124974,123707,123688,123684,126465,126465,126465,126369,126369,126369,281982,269071,269071,282118,281505,275655,128660,128660,128660,128660,128660,128585,123646,123458,121970
misc,2D-27628-bjtcai,27628,207723,31664,31664,31664,31652,31652,31652,32163,32163,32163,32160,32160,32160,39215,39215,39215,39068,39068,39068,31725,31725,31725,31725,31725,31725,31529,31520,31490
misc,2D-54019-highK,54019,472098,59793,59793,59793,59860,59856,59856,61454,61454,61454,61418,61418,61418,83420,83420,83420,83641,83366,83366,60437,60437,60437,60435,60435,60435,59655,59610,59610
misc,3D-28984-Tetra,28984,288684,39844,39844,39844,39643,39612,39612,40926,40926,40926,40913,40911,40911,63805,63805,63805,63888,63888,63887,39225,39225,39225,39216,39216,39216,39200,39200,39200
misc,3D-51448-3D,51448,506556,67580,67580,67580,67332,67252,67244,69264,69264,69264,69249,69244,69244,107976,107976,107976,108245,108245,108245,65862,65862,65862,65862,65829,65829,65816,65794,65794
misc,3dtube,45330,1584144,62271,62271,62271,65506,65505,65403,70376,70376,70376,70295,70295,70295,129072,128844,128844,128652,128652,128616,70476,70476,70476,70476,70476,70476,61670,61210,61194
misc,598a,110971,741934,128601,128601,128601,128397,128397,128397,129505,129505,129505,129230,129227,129227,555453,554763,537064,554352,552932,518496,129831,129831,129831,129831,129831,129831,128420,127947,127524
misc,a0nsdsil,80016,155013,81641,81641,81641,81637,81637,81637,80582,80582,80582,80583,80583,80583,80675,80675,80675,80680,80680,80680,114843,114843,114843,114843,114843,114843,80482,80482,80480
misc,a2nnsnsl,80016,151107,81730,81730,81730,81600,81600,81599,80582,80582,80582,80582,80582,80582,80957,80957,80957,80894,80866,80856,112657,112657,112657,112657,112657,112657,80477,80473,80473
misc,a5esindl,60008,110000,60341,60341,60341,60335,60334,60334,60282,60282,60282,60282,60282,60282,60447,60447,60447,60445,60445,60445,84644,84644,84644,84644,84644,84644,60260,60260,60260
misc,aa01,9727,72965,18741,18741,18741,18676,18664,18660,17456,17456,17456,17452,17448,17448,23421,23421,23421,23421,23421,23421,20611,20611,20611,20611,20611,20611,16864,16736,16722
misc,aa03,9452,70806,18872,18872,18872,18766,18755,18752,16996,16996,16996,16982,16980,16980,22807,22807,22807,22801,22801,22801,20781,20781,20781,20781,20781,20781,16560,16489,16489
misc,aa3,9452,70806,18872,18872,18872,18766,18754,18752,16996,16996,16996,16982,16980,16980,22807,22807,22807,22801,22801,22801,20719,20719,20719,20719,20719,20719,16587,16526,16524
misc,aa4,7621,52121,15474,15474,15474,15534,15519,15511,14221,14221,14221,14215,14215,14215,16501,16501,16501,16501,16501,16501,15862,15862,15862,15862,15862,15862,13707,13639,13634
