Family,Instance Name,Singel,,,Parallel,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
misc,Alemdar,7683,7683,7683,7508,7498,7493
misc,amazon0302,329258,315156,313388,329258,329258,309953
misc,Andrews,88969,88253,88253,89397,87388,85602
misc,apache1,90865,90865,90865,90808,90681,90645
misc,appu,124729,124729,124729,124728,124721,124715
misc,arenas-pgp,12027,12027,12027,11912,11835,11797
misc,as-22july06,26926,26922,26918,26572,26207,25985
misc,as-caida,30505,30503,30500,30219,29892,29683
misc,as-caida20071105,30578,30578,30578,30324,29996,29780
misc,ASIC-100k,110956,107549,107549,110956,107162,106895
misc,ASIC-100ks,104267,104267,104267,104228,103922,103801
misc,ASIC-320ks,327458,327418,327418,327934,327302,327276
misc,ASIC-680k,201110,201110,201110,200741,199811,199783
misc,astro-ph,24101,24079,24079,24237,23920,23833
misc,atmosmodl,310236,309560,309560,310231,308892,308692
misc,atmosmodm,345438,345031,345031,345438,344293,344132
misc,aug2d,30376,30376,30376,30340,30317,30312
misc,aug2dc,31597,31597,31597,31564,31536,31529
misc,aug3d,27226,27226,27226,27076,26908,26857
misc,aug3dcqp,39134,39134,39134,39030,38855,38741
misc,av41092,121480,110409,110409,121480,110232,108773
misc,barth,7727,7727,7727,7651,7645,7637
misc,barth4,6982,6982,6982,6918,6918,6918
misc,barth5,17106,17106,17106,17023,17021,17021
misc,bas1lp,28073,28073,28073,28027,27769,27733
misc,Baumann,126278,126278,126278,126164,126021,125981
misc,bauru5727,39545,39545,39545,39494,39487,39484
misc,baxter,61864,61864,61864,61824,61784,61729
misc,bayer01,87321,87258,87258,87290,86600,85934
misc,bayer02,26028,26028,26028,25673,25246,25131
misc,bayer03,15046,15046,15046,14717,14572,14537
misc,bayer04,37797,37797,37797,37567,36936,36598
misc,bayer05,7983,7983,7983,7757,7638,7578
misc,bayer06,7651,7651,7651,7423,7349,7331
misc,bayer07,7983,7983,7983,7749,7688,7629
misc,bayer08,7651,7651,7651,7422,7349,7325
misc,bayer09,7239,7239,7239,6981,6891,6860
misc,bayer10,25916,25916,25916,25610,24977,24844
misc,bbmat,58482,58482,58482,58520,58157,57907
misc,bcircuit,69939,69939,69939,69887,69883,69876
misc,bcspwr10,5801,5801,5801,5764,5763,5763
misc,bcsstk10,2001,2001,2001,1945,1945,1945
misc,bcsstk11,2667,2667,2667,2643,2643,2643
misc,bcsstk12,2717,2717,2717,2620,2620,2620
misc,bcsstk13,4897,4897,4897,4890,4890,4890
misc,bcsstk14,3507,3507,3507,3463,3463,3463
misc,bcsstk15,7154,7154,7154,6896,6896,6896
misc,bcsstk16,9580,9580,9580,9509,9509,9509
misc,bcsstk17,15129,15129,15129,14638,14623,14623
misc,bcsstk18,14748,14748,14748,14492,14471,14464
misc,bcsstk21,4931,4931,4931,4895,4895,4895
misc,bcsstk23,5943,5943,5943,5894,5894,5894
misc,bcsstk24,6060,6060,6060,6032,6032,6032
misc,bcsstk25,20930,20929,20929,20541,20502,20502
misc,bcsstk26,2931,2931,2931,2924,2923,2923
misc,bcsstk27,2893,2893,2893,2763,2763,2763
misc,bcsstk28,7330,7330,7330,7295,7295,7295
misc,bcsstk29,19718,19718,19718,19153,19120,19120
misc,bcsstk30,38186,38186,38186,37456,37387,37387
misc,bcsstk31,43993,43990,43988,43462,43343,43343
misc,bcsstk32,53288,53288,53288,52922,52392,52376
misc,bcsstk33,16594,16594,16594,16516,16511,16511
misc,bcsstk35,36923,36923,36923,36535,36469,36452
misc,bcsstk36,29710,29710,29710,29287,29287,29287
misc,bcsstk37,32419,32419,32419,31973,31924,31920
misc,bcsstk38,12363,12363,12363,12210,12210,12210
misc,bcsstk39,56727,56720,56720,55765,55453,55393
misc,bcsstm10,1992,1992,1992,1972,1972,1972
misc,bcsstm12,2368,2368,2368,2275,2252,2252
misc,bcsstm27,2893,2893,2893,2839,2839,2839
misc,bcsstm35,1408,1408,1408,1408,1408,1408
misc,bcsstm36,15735,15735,15735,15675,15675,15675
misc,bcsstm38,2015,2015,2015,2004,2004,2004
misc,belgium-osm,1443157,1443144,1443144,1443157,1443117,1443109
misc,benzene,20247,20247,20247,19798,19567,19550
misc,bfly,61887,61872,61872,60445,58365,58365
misc,bibd-13-6,4735,4735,4735,4690,4680,4663
misc,bibd-14-7,7346,7346,7346,7328,7328,7328
misc,bibd-15-7,10911,10911,10911,10867,10867,10859
misc,bibd-16-8,18273,18273,18273,18218,18218,18218
misc,bibd-17-8,30413,30413,30413,30356,30354,30354
misc,bibd-18-9,55756,55756,55756,55696,55695,55693
misc,bibd-49-3,27495,27495,27495,27458,27434,27433
misc,bibd-81-3,110772,110772,110772,110761,110732,110676
misc,bibsonomy-2ti,1104408,1031697,1022611,1104402,1104402,1021404
misc,bibsonomy-2ui,770408,770397,770397,770399,770360,770332
misc,bibsonomy-2ut,239478,239477,239477,240643,238295,236715
misc,big,14761,14761,14761,14669,14669,14669
misc,big-dual,31717,31717,31717,31687,31677,31677
misc,biplane-9,23350,23350,23350,23242,23230,23230
misc,bips07-1693,13266,13266,13266,13242,13237,13237
misc,bips07-1998,14886,14886,14886,14833,14830,14828
misc,bips07-2476,16671,16671,16671,16656,16648,16648
misc,bips07-3078,20862,20862,20862,20827,20823,20819
misc,bips98-1142,9811,9811,9811,9770,9766,9758
misc,bips98-1450,11302,11302,11302,11266,11256,11255
misc,bips98-606,7128,7128,7128,7096,7096,7096
misc,blockqp1,60705,60705,60705,60705,60705,60705
misc,bloweya,30178,30178,30178,30178,30178,30178
misc,bloweybl,30191,30191,30191,30191,30191,30191
misc,bloweybq,10175,10175,10175,10175,10175,10175
misc,bodyy4,19486,19486,19486,19375,19375,19375
misc,bodyy5,20624,20624,20624,20495,20494,20491
misc,bodyy6,21481,21481,21481,21334,21324,21323
misc,bookcrossing-full-rating,535533,535533,535533,535494,535317,533932
misc,bookcrossing-rating,288253,288253,288253,288205,287596,286410
misc,boyd1,93722,93722,93722,93717,93717,93717
misc,boyd2,466481,466481,466481,466481,466481,466481
misc,brack2,70901,70901,70901,70875,70568,70546
misc,brainpc2,27984,27984,27984,27984,27984,27984
misc,bratu3d,35919,35919,35919,35802,35720,35713
misc,bundle1,15798,15798,15798,15702,15663,15645
misc,c-18,3078,3078,3078,2977,2977,2977
misc,c-19,3530,3530,3530,3491,3491,3491
misc,c-20,3892,3892,3892,3813,3791,3784
misc,c-21,4671,4671,4671,4545,4488,4444
misc,c-22,5039,5039,5039,4953,4913,4879
misc,c-23,4892,4892,4892,4853,4840,4838
misc,c-24,5653,5653,5653,5539,5478,5474
misc,c-25,6018,6018,6018,5832,5832,5832
misc,c-26,5599,5599,5599,5496,5458,5450
misc,c-27,5531,5531,5531,5427,5414,5409
misc,c-28,5621,5621,5621,5478,5437,5437
misc,c-29,6604,6604,6604,6493,6441,6403
misc,c-30,6586,6586,6586,6466,6442,6439
misc,c-31,7838,7838,7838,7764,7712,7703
misc,c-32,6940,6938,6938,6922,6922,6922
misc,c-33,8745,8745,8745,8488,8483,8483
misc,c-34,8521,8521,8521,8476,8476,8476
misc,c-35,8198,8198,8198,8032,8000,7996
misc,c-36,9882,9882,9882,9742,9635,9560
misc,c-37,10720,10720,10720,10529,10413,10413
misc,c-38,10035,10035,10035,9885,9858,9856
misc,c-39,13289,13289,13289,13019,12967,12880
misc,c-40,12563,12563,12563,12447,12306,12147
misc,c-41,11962,11962,11962,11679,11633,11632
misc,c-42,12876,12876,12876,12704,12605,12590
misc,c-43,13542,13542,13542,13445,13399,13310
misc,c-44,13283,13283,13283,13046,12995,12993
misc,c-45,14911,14911,14911,14771,14759,14759
misc,c-46,18661,18661,18661,18424,18173,17926
misc,c-47,21141,21141,21141,20768,20620,20554
misc,c-48,21823,21822,21822,21873,21561,21335
misc,c-49,23853,23853,23853,23624,23528,23462
misc,c-50,25584,25584,25584,25437,25360,25209
misc,c-51,27571,27569,27569,27405,27200,27108
misc,c-52,26991,26991,26991,26625,26535,26465
misc,c-53,34400,34400,34400,34288,34230,34159
misc,c-54,35894,35894,35894,35752,35702,35687
misc,c-55,43143,43126,43125,42448,41758,41534
misc,c-56,41967,41967,41967,41773,41530,41283
misc,c-57,42306,42306,42306,42203,42137,42090
misc,c-58,46331,46331,46331,46148,46031,46028
misc,c-59,52035,52031,52027,51643,50544,50212
misc,c-60,48811,48811,48811,48265,48169,48087
misc,c-61,48181,48181,48181,47772,47656,47594
misc,c-62,54506,54501,54460,57458,53294,52901
misc,c-62ghs,54506,54501,54460,57558,53190,52891
misc,c-63,52087,52077,52070,51456,51185,51059
misc,c-64,57575,57575,57575,57536,57482,57475
misc,c-64b,57575,57575,57575,57524,57498,57449
misc,c-65,52204,52204,52204,52022,51868,51753
misc,c-66,55559,55559,55559,55348,55250,55064
misc,c-66b,55559,55559,55559,55354,55225,55068
misc,c-67,61552,61552,61552,61498,61363,61170
misc,c-67b,61552,61552,61552,61513,61422,61186
misc,c-68,77510,77479,77475,80091,75732,75352
misc,c-69,76781,76778,76777,78103,75797,75565
misc,c-70,79005,78898,78898,78808,77726,77507
misc,c-71,94470,94455,94425,101194,92197,91899
misc,c-72,93790,93642,93642,93350,92805,92702
misc,c-73,181220,181220,181220,181209,181158,181117
misc,c-73b,181220,181220,181220,181363,181113,181112
misc,ca-actor-collaboration,156013,156013,156013,156013,155946,155452
misc,ca-AstroPh,34968,34941,34913,34369,32953,32355
misc,ca-cit-HepPh,101578,101561,101561,101562,101476,101041
misc,ca-cit-HepTh,83696,83696,83696,83676,83609,83504
misc,ca-CondMat,31712,31701,31701,31334,30739,30549
misc,cage10,18817,18817,18817,18733,18733,18733
misc,cage11,58012,58012,58012,57874,57574,57529
misc,cage12,189719,189719,189719,189796,189380,188271
misc,cage13,260815,260134,260055,266593,263919,246685
misc,cage9,6122,6122,6122,6042,6042,6042
misc,CAG-mat1916,9590,9590,9590,9442,9442,9442
misc,ca-GrQc,6520,6520,6520,6359,6356,6355
misc,ca-HepPh,19669,19669,19669,19351,19043,19007
misc,ca-HepTh,13313,13313,13313,12902,12809,12746
misc,caidaRouterLevel,222353,222346,222318,236311,221852,220203
misc,cant,81738,81738,81738,80743,80321,80321
misc,ca-opsahl-collaboration,35946,35946,35946,35607,34775,34325
misc,car4,51975,51975,51975,51926,51874,51773
misc,cari,7481,7481,7481,7408,7353,7305
misc,case39,43119,43119,43119,42985,42793,42793
misc,case9,15289,15289,15289,15213,15213,15213
misc,cat-ears-3-4,24745,24745,24745,24620,24521,24424
misc,cat-ears-4-4,79863,79863,79863,79728,79322,78812
misc,cavity05,2247,2247,2247,2236,2236,2236
misc,cavity06,2247,2247,2247,2242,2242,2242
misc,cavity07,2247,2247,2247,2234,2234,2234
misc,cavity08,2247,2247,2247,2238,2238,2238
misc,cavity09,2247,2247,2247,2240,2240,2240
misc,cavity10,4078,4078,4078,4062,4062,4060
misc,cavity11,4078,4078,4078,4058,4058,4058
misc,cavity12,4078,4078,4078,4072,4072,4072
misc,cavity13,4078,4078,4078,4066,4066,4066
misc,cavity14,4078,4078,4078,4066,4066,4066
misc,cavity16,6415,6415,6415,6411,6411,6411
misc,cavity17,6415,6415,6415,6406,6406,6406
misc,cavity18,6415,6415,6415,6406,6406,6406
misc,cavity19,6415,6415,6415,6406,6406,6406
misc,cavity20,6415,6415,6415,6406,6406,6406
misc,cavity21,6415,6415,6415,6408,6408,6408
misc,cavity22,6415,6415,6415,6413,6413,6413
misc,cavity23,6415,6415,6415,6410,6410,6410
misc,cavity24,6415,6415,6415,6406,6406,6406
misc,cavity25,6415,6415,6415,6409,6409,6409
misc,cavity26,6415,6415,6415,6413,6413,6413
misc,c-big,377063,377061,373659,389301,374087,372906
misc,cbuckle,19429,19429,19429,18487,18487,18486
misc,cca,54251,54251,54251,53996,53864,53756
misc,ccc,59181,59181,59181,59073,59037,58937
misc,cegb2802,6046,6046,6046,5995,5995,5995
misc,cegb2919,7011,7011,7011,6774,6774,6774
misc,cegb3024,4636,4636,4636,4486,4486,4486
misc,cegb3306,4488,4488,4488,4448,4448,4448
misc,cell1,8162,8162,8162,8102,8102,8102
misc,cell2,8176,8176,8176,8095,8095,8095
misc,cfd1,92161,92147,92143,97031,89865,89317
misc,cfd2,148445,148445,148442,158565,145617,144430
misc,cfinder-google,23895,23895,23895,23641,23381,23299
misc,ch,14174,14174,14174,14113,14054,14039
misc,ch6-6-b3,14686,14686,14686,14483,14307,14234
misc,ch6-6-b4,15210,15210,15210,14950,14839,14788
misc,ch7-6-b3,32371,32371,32371,32144,31721,31480
misc,ch7-6-b4,47209,47209,47209,47048,46598,46197
misc,ch7-6-b5,26143,26143,26143,26059,25881,25666
misc,ch7-7-b2,14130,14130,14130,13862,13676,13515
misc,ch7-7-b5,131521,130387,130387,131521,129664,128398
misc,ch7-8-b2,20616,20616,20616,20381,20194,20036
misc,ch7-8-b3,133924,132380,132380,132649,131750,130538
misc,ch7-8-b4,377838,377838,373313,377838,377838,371294
misc,ch7-8-b5,425124,425124,406902,425124,425124,404661
misc,ch7-9-b2,29054,29054,29054,28832,28631,28514
misc,ch7-9-b3,222402,218086,218086,222402,217825,215997
misc,ch7-9-b4,807812,807812,798157,807812,807812,797492
misc,ch8-8-b2,30532,30532,30532,30342,30215,30085
misc,ch8-8-b3,243710,239676,239112,243710,239732,237192
misc,ch8-8-b4,943897,943897,934131,943897,943897,933467
misc,Chebyshev2,2401,2401,2401,2401,2401,2401
misc,Chebyshev3,4449,4449,4449,4449,4449,4449
