Family,Instance Name,Singel,,,Parallel,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
misc,m14b,247599,241754,241751,247590,241355,240199
misc,mac-econ-fwd500,222400,221370,221370,222400,221217,221143
misc,majorbasis,176708,174823,174823,176690,173694,173472
misc,man-5976,8836,8836,8836,8603,8603,8603
misc,Maragal-3,5876,5876,5876,5241,5170,5153
misc,Maragal-4,7259,7259,7259,6755,6755,6755
misc,Maragal-5,17959,17959,17959,16299,15313,15017
misc,Maragal-6,71706,69873,69873,71473,61096,56285
misc,Maragal-7,138104,130248,130248,138104,125866,119945
misc,Maragal-8,173098,163465,163465,173521,156386,147931
misc,mario001,39816,39816,39816,39749,39742,39742
misc,mario002,398896,394359,394359,394404,394275,394170
misc,mark3jac020,13666,13666,13666,13376,13339,13335
misc,mark3jac020sc,13666,13666,13666,13385,13328,13304
misc,mark3jac040,25648,25648,25648,25393,25256,25223
misc,mark3jac040sc,25648,25648,25648,25418,25267,25201
misc,mark3jac060,36997,36997,36997,36658,36314,36265
misc,mark3jac060sc,36997,36997,36997,36733,36356,36266
misc,mark3jac080,48007,48007,48007,47841,47625,47505
misc,mark3jac080sc,48007,48007,48007,47846,47548,47446
misc,mark3jac100,58214,58214,58214,58057,57725,57654
misc,mark3jac100sc,58214,58214,58214,58045,57775,57664
misc,mark3jac120,68830,68830,68830,68720,68412,68319
misc,mark3jac120sc,68830,68830,68830,68808,68411,68294
misc,mark3jac140,5811,5811,5811,5574,5557,5551
misc,mark3jac140sc,79618,79618,79618,79549,79136,78871
misc,matrix-9,126754,126754,126754,126589,126523,126517
misc,mc2depi,538040,537389,537389,538031,536816,536482
misc,meg1,8429,8429,8429,8205,8079,7991
misc,meg4,7102,7102,7102,6972,6972,6972
misc,memplus,19222,19222,19222,19204,19196,19189
misc,mesh-deform,247029,246459,246459,246422,246406,246404
misc,mhd1280a,2977,2977,2977,2942,2942,2942
misc,mhd1280b,1733,1733,1733,1733,1733,1733
misc,mhd3200a,3953,3953,3953,3952,3952,3952
misc,mhd3200b,3300,3300,3300,3299,3299,3299
misc,mhd4800a,5518,5518,5518,5512,5512,5512
misc,mhd4800b,4900,4900,4900,4899,4899,4899
misc,mimo28x28-system,13152,13152,13152,13126,13126,13126
misc,mimo46x46-system,13158,13158,13158,13138,13132,13132
misc,mimo8x8-system,13225,13225,13225,13176,13170,13170
misc,minsurfo,43670,43670,43670,43573,43502,43502
misc,misc-jung-code-dep,9971,9971,9971,9386,9173,9173
misc,misc-Reuters911,46973,46973,46973,46962,46922,46893
misc,mixtank-new,47609,47609,47609,47609,44962,44961
misc,mk10-b3,13983,13983,13983,13709,13550,13489
misc,mk11-b2,14268,14268,14268,14022,13782,13520
misc,mk11-b3,45979,45979,45979,45849,45359,44894
misc,mk11-b4,39954,39954,39954,39855,39713,39448
misc,mk11-b4b,37672,37672,37672,37543,37355,37073
misc,mk12-b2,25004,25004,25004,24749,24454,24215
misc,mk12-b3,126185,126129,126129,126047,125621,124857
misc,mk12-b4,191498,189917,189917,191498,189186,187911
misc,mk12-b5,72765,72765,72765,72765,72765,72765
misc,mk13-b5,563449,563449,561161,563449,563449,560080
misc,mod2,108844,108844,108844,108703,108541,108451
misc,model10,26556,26556,26556,26502,26465,26424
misc,model3,7996,7996,7996,7948,7927,7913
misc,model4,9303,9303,9303,9230,9178,9175
misc,model5,18092,18092,18092,18005,17965,17952
misc,model6,9585,9585,9585,9511,9459,9448
misc,model7,15483,15483,15483,15440,15405,15365
misc,model8,11913,11913,11913,11796,11716,11707
misc,model9,15943,15943,15943,15928,15910,15904
misc,moreno-blogs,16930,16930,16930,16875,16439,16342
misc,movielens-10m-ti,36741,36741,36741,36491,36405,36405
misc,movielens-10m-ui,20493,20493,20493,19499,19019,19019
misc,movielens-10m-ut,26560,26560,26548,25990,25096,24581
misc,movielens-1m,53100,53100,53100,53096,53095,53095
misc,mplate,11115,11115,11115,11074,11074,11074
misc,mri1,187840,187832,187832,187919,187373,186864
misc,mri2,173140,173139,173101,173326,172783,172651
misc,msc01050,2415,2415,2415,2356,2356,2356
misc,msc01440,3130,3130,3130,3077,3077,3077
misc,msc04515,6555,6555,6555,6361,6361,6360
misc,msc10848,18421,18421,18421,18408,18367,18367
misc,msc23052,29765,29765,29765,29237,29039,29037
misc,mult-dcop-01,32889,32889,32889,32130,32032,32032
misc,mult-dcop-02,34237,34237,34236,33182,31936,31876
misc,mult-dcop-03,32171,32171,32171,31844,31798,31798
misc,munmun-digg-reply,58612,58612,58612,58138,57215,56853
misc,munmun-twitter-social,520919,520919,520919,520919,520565,520059
misc,Muu,8870,8870,8870,8566,8566,8566
misc,n2c6-b5,16214,16214,16214,15926,15851,15848
misc,n2c6-b6,21710,21710,21710,21367,21296,21276
misc,n2c6-b7,18957,18957,18957,18634,18216,18091
misc,n3c6-b5,16343,16343,16343,15968,15923,15923
misc,n3c6-b6,23254,23254,23254,22998,22929,22907
misc,n3c6-b7,13673,13673,13673,13288,13263,13252
misc,n3c6-b8,23501,23501,23501,23090,22868,22835
misc,n3c6-b9,15527,15527,15527,15343,15247,15113
misc,n4c5-b5,14618,14618,14618,14233,14173,14122
misc,n4c5-b6,18107,18107,18107,17837,17749,17702
misc,n4c5-b7,16511,16511,16511,16263,16171,16102
misc,n4c5-b8,10295,10295,10295,10118,10066,10012
misc,n4c6-b10,604164,604164,597483,604165,604165,596241
misc,n4c6-b11,343140,343138,343096,354675,354675,325978
misc,n4c6-b12,142059,142051,142050,152164,137355,134206
misc,n4c6-b13,42130,42129,42129,40978,40173,40086
misc,n4c6-b3,14652,14652,14652,14508,14390,14266
misc,n4c6-b4,52176,52176,52176,51915,51529,51307
misc,n4c6-b5,145189,144061,144061,145189,143007,141913
misc,n4c6-b6,315926,314117,312738,315926,314154,309578
misc,n4c6-b7,536642,536642,530083,536642,536642,528089
misc,n4c6-b8,715230,715230,707907,715230,715230,707156
misc,n4c6-b9,751432,751432,742712,751432,751432,742536
misc,Na5,17045,17045,17045,16680,16314,16266
misc,nasa1824,3090,3090,3090,3038,3038,3038
misc,nasa2146,3964,3964,3964,3941,3941,3941
misc,nasa2910,5580,5580,5580,5580,5580,5580
misc,nasa4704,6902,6902,6902,6681,6681,6681
misc,nasasrb,67093,67093,67087,65504,65116,65100
misc,ncvxbqp1,54345,54345,54345,54167,54062,54057
misc,ncvxqp1,17613,17613,17613,17087,16921,16921
misc,ncvxqp3,91366,91043,91043,97493,90066,88926
misc,ncvxqp5,76342,76342,76342,76121,75461,74968
misc,ncvxqp7,105882,105875,105875,112668,105012,104051
misc,ncvxqp9,17520,17520,17520,17482,17468,17451
misc,nd3k,32837,32837,32837,32830,32756,32684
misc,nd6k,15315,15315,15315,15297,15283,15283
misc,nemeth01,11900,11900,11900,11897,11897,11897
misc,nemeth02,10948,10948,10948,10929,10929,10929
misc,nemeth03,10948,10948,10948,10928,10928,10928
misc,nemeth04,10948,10948,10948,10929,10929,10929
misc,nemeth05,10948,10948,10948,10929,10929,10929
misc,nemeth06,10948,10948,10948,10929,10929,10929
misc,nemeth07,10963,10963,10963,10923,10923,10923
misc,nemeth08,10961,10961,10961,10924,10924,10924
misc,nemeth09,10979,10979,10979,10960,10960,10960
misc,nemeth10,10928,10928,10928,10922,10918,10906
misc,nemeth11,10925,10925,10925,10902,10902,10899
misc,nemeth12,11076,11076,11076,11076,11076,11076
misc,nemeth13,11224,11224,11224,11224,11220,11208
misc,nemeth14,11232,11232,11232,11224,11224,11224
misc,nemeth15,11469,11469,11469,11463,11463,11463
misc,nemeth16,11577,11577,11577,11577,11577,11577
misc,nemeth17,11719,11719,11719,11691,11691,11691
misc,nemeth18,11905,11905,11905,11900,11900,11900
misc,nemeth19,12398,12398,12398,12397,12397,12397
misc,nemeth20,12922,12922,12922,12918,12918,12918
misc,nemeth21,13524,13524,13524,13524,13524,13524
misc,nemeth22,14189,14189,14189,14181,14181,14181
misc,nemeth23,14715,14715,14715,14705,14701,14701
misc,nemeth24,14737,14737,14737,14732,14732,14732
misc,nemeth25,14742,14742,14742,14731,14731,14731
misc,nemeth26,14753,14753,14753,14747,14745,14745
misc,nemsemm1,82505,82505,82505,82486,82466,82458
misc,nemsemm2,57556,57556,57556,57552,57549,57549
misc,nemspmm1,14186,14186,14186,14079,14019,13980
misc,nemspmm2,14205,14205,14205,14032,13946,13928
misc,nemswrld,40953,40953,40953,40809,40651,40558
misc,neos,1017158,1012329,1012329,1017160,1012303,1012159
misc,neos1,295810,293568,293568,295810,293470,293454
misc,neos2,295788,293480,293480,295788,293287,293243
misc,neos3,1108093,1103407,1103370,1108093,1103373,1103286
misc,net100,64618,61063,61063,64618,60298,60036
misc,net125,81125,76666,76666,81125,75349,74975
misc,net150,98054,92111,92111,98054,90403,90045
misc,net25,20358,20358,20358,20226,20217,20217
misc,net4-1,94205,94205,94157,93671,93604,93604
misc,net50,33102,33102,33102,33035,32636,32571
misc,net75,47984,47984,47984,48546,47093,45871
misc,nl,26129,26129,26129,26046,25933,25828
misc,nmos3,22056,22056,22056,21811,21787,21784
misc,nopoly,11753,11753,11753,11696,11695,11694
misc,nopss-11k,11663,11663,11663,11612,11611,11611
misc,NotreDame-actors,726500,688404,688401,726576,726243,683514
misc,NotreDame-www,267769,266587,266587,267835,264980,264352
misc,ns3Da,33903,33903,33903,33897,33792,33792
misc,nsct,74317,74317,74317,74315,74222,74143
misc,nsir,21671,21671,21671,21416,21266,21265
misc,nug08-3rd,87951,87885,87881,91799,82508,77637
misc,nw14,125425,125423,125423,125418,125417,125417
misc,obstclae,42793,42793,42793,42666,42655,42655
misc,ODLIS,6680,6680,6680,6296,6291,6291
misc,offshore,288399,288296,288296,300780,289389,286636
misc,oilpan,84287,84287,84287,83608,83349,83300
misc,olafu,23040,23034,23032,22372,22320,22320
misc,olesnik0,94128,94128,94128,93924,93610,93528
misc,olm5000,5116,5116,5116,5116,5116,5116
misc,onera-dual,93862,93862,93862,93778,93461,93330
misc,onetone1,51435,51435,51435,51426,51335,51335
misc,onetone2,42910,42910,42910,42593,42423,42423
misc,OPF-10000,44985,44985,44985,44945,44941,44941
misc,OPF-3754,16167,16167,16167,16150,16150,16150
misc,OPF-6000,30999,30999,30999,30963,30963,30956
misc,opsahl-openflights,5013,5013,5013,4856,4856,4856
misc,opsahl-ucsocial,6069,6069,6069,5793,5793,5793
misc,opsahl-usairport,4426,4426,4426,4207,4206,4206
misc,opt1,26049,26049,26049,26028,25925,25925
misc,orani678,8794,8794,8794,8540,8495,8495
misc,Oregon-1,13407,13401,13401,13097,12960,12935
misc,Oregon-2,14612,14604,14602,14155,13968,13941
misc,orsreg-1,3420,3420,3420,3358,3358,3358
misc,p010,34170,34170,34170,33996,33898,33881
misc,p05,18354,18354,18354,18225,18167,18147
misc,p2p-Gnutella04,28839,28839,28839,28157,26528,25730
misc,p2p-Gnutella05,23039,23039,23039,22321,21032,20669
misc,p2p-Gnutella06,22773,22773,22773,21978,20720,20071
misc,p2p-Gnutella08,14680,14680,14680,13946,13296,13146
misc,p2p-Gnutella09,18676,18676,18676,17908,17002,16612
misc,p2p-Gnutella24,52804,52804,52804,52728,51119,48588
misc,p2p-Gnutella25,44286,44286,44286,44039,42539,40451
misc,p2p-Gnutella30,69932,69932,69932,69719,68704,65877
misc,p2p-Gnutella31,118317,117048,117048,117747,116225,112843
misc,p6000,10158,10158,10158,10158,10158,10158
misc,para-10,12926,12926,12926,12761,12735,12704
misc,para-4,91159,91156,91155,94564,91245,90972
misc,para-5,12671,12671,12671,12608,12591,12591
misc,para-6,12704,12704,12704,12652,12621,12612
misc,para-7,12683,12683,12683,12615,12593,12591
misc,para-8,12961,12961,12961,12832,12795,12778
misc,para-9,12769,12769,12769,12704,12667,12662
misc,parabolic-fem,538473,537027,537027,538467,536477,536300
misc,patents-main,287270,287258,286550,297418,285736,283313
misc,pcb1000,5984,5984,5984,5771,5771,5771
misc,pcb3000,14328,14328,14328,14191,14097,14097
misc,pcrystk02,24953,24953,24953,24299,23948,23948
misc,pcrystk03,41879,41879,41879,39497,38318,38306
misc,pct20stif,63844,63842,63818,63266,63004,62958
misc,Pd,5530,5530,5530,5525,5525,5525
misc,pdb1HYS,54870,54870,54870,54861,54509,54354
misc,pde2961,3681,3681,3681,3620,3620,3620
misc,pds10,24240,24240,24240,24034,23901,23850
misc,pds-100,702884,702279,702279,702884,702188,701943
misc,pds-30,224768,224756,224756,224767,224544,224335
misc,pds-40,304655,304261,304261,304655,304014,303664
misc,pds-50,382265,381812,381812,382265,381664,381307
misc,pds-60,461476,461017,461017,461476,460898,460645
misc,pds-70,533007,532544,532544,533007,532458,532220
misc,pds-80,593431,592875,592875,593431,592754,592496
misc,pds-90,649510,648945,648945,649510,648823,648519
misc,pesa,12990,12990,12990,12917,12917,12917
misc,petster-carnivore,1249865,1249865,1247758,1249865,1249865,1247541
misc,petster-friendships-cat,371508,371396,371396,371508,371425,337818
misc,petster-friendships-dog,1060558,1060558,1051229,1060558,1060558,1002593
misc,pf2177,22626,22626,22626,22330,22156,22097
misc,pfinan512,78935,78935,78935,78776,78528,78522
misc,pgp2,17552,17552,17552,17544,17544,17544
misc,PGPgiantcompo,12059,12059,12059,11887,11804,11769
misc,photogrammetry,3390,3390,3390,3381,3381,3381
misc,photogrammetry2,8875,8875,8875,8811,8811,8811
misc,pics-ti,652713,650749,650749,653025,652559,630968
misc,pics-ui,599289,599289,599289,599289,598996,596266
misc,pics-ut,137235,137235,137235,137212,137068,136378
misc,piston,3604,3604,3604,3590,3590,3590
misc,pkustk01,28021,28014,28014,27833,27674,27672
misc,pkustk02,16002,16002,16002,15920,15911,15911
misc,pkustk03,72264,72264,72264,71958,71730,71724
misc,pkustk04,72631,68733,68733,72592,68347,68239
misc,pkustk05,49874,49860,49857,48770,48320,48246
misc,pkustk06,56990,56990,56960,55772,55428,55428
misc,pkustk07,31992,31992,31992,31968,31851,31851
misc,pkustk08,40592,40592,40592,40591,40589,40589
misc,pkustk09,41763,41763,41763,41187,41107,41106
misc,pkustk10,94614,94614,94614,94536,93997,93907
misc,plat1919,3105,3105,3105,3042,3042,3042
misc,plbuckle,2434,2434,2434,2370,2370,2370
misc,pli,44004,44002,43980,41617,40675,40647
misc,plsk1919,2409,2409,2409,2380,2380,2380
misc,pltexpa,101247,101247,101247,101199,101107,100970
misc,poisson3Da,20517,20517,20517,20044,20005,20005
misc,poisson3Db,106147,106138,106127,109939,104643,104151
misc,poli3,18106,18106,18106,18003,17915,17892
misc,poli4,35318,35318,35318,35235,35146,35083
misc,poli-large,16046,16046,16046,16007,15976,15969
misc,pores-2,2336,2336,2336,2275,2275,2275
misc,powersim,16205,16205,16205,16185,16180,16180
misc,pre2,363405,363405,363405,363406,362713,362339
misc,Pres-Poisson,21287,21287,21287,20598,20568,20511
misc,primagaz,12831,12831,12831,12831,12831,12831
misc,psmigr-1,24750,24750,24750,24749,24748,24748
misc,psmigr-2,24825,24825,24825,24819,24819,24819
misc,psmigr-3,24790,24790,24790,24783,24779,24779
misc,psse0,38927,38927,38927,38883,38845,38845
misc,psse1,26366,26366,26366,26322,26321,26319
misc,psse2,40879,40879,40879,40778,40682,40680
misc,pwt,40138,40138,40138,39954,39933,39931
misc,qa8fk,87037,87037,87034,90506,84893,84379
misc,qa8fm,87037,87037,87034,90567,84817,84359
misc,qc2534,9180,9180,9180,9063,9023,8988
misc,qpband,20000,20000,20000,20000,20000,20000
misc,r05,20276,20276,20276,20192,20141,20093
misc,radfr1,3107,3107,3107,2977,2949,2947
misc,raefsky1,8780,8780,8780,8762,8762,8762
misc,raefsky2,9005,9005,9005,8898,8898,8898
misc,raefsky3,29579,29579,29579,28399,28370,28367
misc,raefsky4,32066,32066,32066,31009,30679,30679
misc,raefsky5,10377,10377,10377,10137,10137,10137
misc,raefsky6,8211,8211,8211,8210,8210,8210
misc,rail-1357,1792,1792,1792,1769,1769,1769
misc,rail-20209,21897,21897,21897,21861,21855,21855
misc,rail2586,99772,99772,99772,99638,99099,98585
misc,rail507,72777,72777,72777,72698,72527,72454
misc,rail516,57130,57130,57127,57066,57037,57022
misc,rail-5177,6037,6037,6037,5986,5986,5986
misc,rail582,66224,66224,66224,66157,66098,66098
misc,rail-79841,83207,83207,83207,83146,83127,83111
misc,Raj1,268861,268442,268442,268861,268367,268322
misc,rajat01,7362,7362,7362,7347,7347,7347
misc,rajat03,8450,8450,8450,8425,8425,8425
misc,rajat04,1580,1580,1580,1559,1559,1559
misc,rajat06,11930,11930,11930,11908,11908,11908
misc,rajat07,16046,16046,16046,16004,16004,16004
misc,rajat08,20669,20669,20669,20642,20639,20639
misc,rajat09,26011,26011,26011,25988,25987,25987
misc,rajat10,31935,31935,31935,31921,31915,31915
misc,rajat12,2280,2280,2280,2273,2273,2273
misc,rajat13,8023,8023,8023,8013,8013,8013
misc,rajat15,40856,40856,40856,40717,40518,40513
misc,rajat16,100364,100364,100364,100284,100214,100179
misc,rajat17,100364,100364,100364,100310,100212,100189
misc,rajat18,98656,98656,98656,98607,98554,98511
misc,rajat20,92933,92933,92933,92884,92807,92751
misc,rajat21,418114,416740,416740,418114,416679,416630
misc,rajat22,40478,40478,40478,40463,40453,40453
misc,rajat23,111376,111376,111376,111371,111360,111346
misc,rajat24,365088,365071,365071,365087,365052,365023
misc,rajat25,93478,93478,93478,93408,93339,93307
misc,rajat26,51783,51783,51783,51761,51758,51751
misc,rajat27,21323,21323,21323,21301,21290,21271
misc,rajat28,93478,93478,93478,93402,93344,93317
misc,rajat29,491858,491577,491529,495514,483575,482823
misc,rajat30,46295,46261,46261,45815,45742,45742
misc,ramage02,35100,35100,35100,35097,34884,34882
misc,rat,25337,25337,25337,25311,24266,23911
misc,rdb3200l,4230,4230,4230,4198,4198,4198
misc,rdb5000,6298,6298,6298,6225,6225,6225
misc,rdist1,9665,9665,9665,9538,9460,9394
misc,rdist2,7766,7766,7766,7658,7575,7519
misc,rdist3a,6220,6220,6220,6115,6044,6005
misc,reactome,11570,11570,11570,11344,11252,11252
misc,rel7,21558,21558,21558,20948,20825,20825
misc,rel8,338783,338783,334513,338655,334177,330314
misc,relat7,29795,29795,29795,29507,29504,29504
misc,relat7b,29767,29767,29767,29500,29491,29491
misc,relat8,465282,465282,465282,465282,464877,462206
misc,Reuters911,36787,36787,36787,36711,36490,36490
misc,RFdevice,185748,185698,183426,186162,180786,172142
misc,rgg-n-2-15-s0,34556,34556,34556,34372,34330,34330
misc,rgg-n-2-16-s0,68232,68232,68232,68072,67913,67910
misc,rgg-n-2-17-s0,135541,135327,135327,135878,134974,134867
misc,rgg-n-2-18-s0,270087,268857,268857,270087,268524,268082
misc,rim,27216,27216,27216,27122,27094,27094
misc,rlfddd,78449,78449,78449,78235,77890,77514
misc,rlfdual,97105,97105,97105,97035,96942,96753
misc,rlfprim,135545,135545,135545,135455,135352,135168
misc,rma10,53582,53582,53580,52915,52827,52827
misc,roadNet-PA,1092583,1092327,1092327,1092897,1092231,1092180
misc,roadNet-TX,1383487,1383313,1383313,1383692,1383253,1383189
misc,rosen1,3080,3080,3080,3080,3080,3080
misc,rosen10,8737,8737,8737,8736,8735,8735
misc,rosen2,4616,4616,4616,4616,4616,4616
misc,route,71146,71146,71146,71133,71129,71129
misc,rw5151,6287,6287,6287,6225,6225,6225
misc,s1rmq4m1,9076,9076,9076,8925,8911,8911
misc,s1rmt3m1,8439,8439,8439,8237,8237,8237
misc,s2rmq4m1,9186,9186,9186,8969,8969,8969
misc,s2rmt3m1,8432,8432,8432,8145,8145,8145
misc,s3dkq4m2,104428,104428,104425,103061,102725,102707
misc,s3dkt3m2,101987,101986,101984,100955,100889,100889
misc,s3rmq4m1,9000,9000,9000,8923,8919,8919
misc,s3rmt3m1,8248,8248,8248,8183,8183,8183
misc,s3rmt3m3,7982,7982,7982,7789,7789,7789
misc,s4dkt3m2,101987,101986,101984,100961,100895,100895
misc,saylr4,5114,5114,5114,5066,5066,5066
misc,sc205-2r,98258,98258,98258,98172,98141,98119
misc,scagr7-2b,24075,24075,24075,24062,24060,24054
misc,scagr7-2r,79927,79926,79926,79926,79926,79926
misc,scfxm1-2b,53478,53478,53478,53478,53469,53465
misc,scfxm1-2r,106350,106350,106350,106349,106348,106337
misc,scircuit,172896,172896,172896,172850,172747,172715
misc,scrs8-2r,43587,43587,43587,43491,43468,43464
misc,scsd8-2b,43877,43877,43877,43870,43870,43870
misc,scsd8-2c,43877,43877,43877,43868,43868,43868
misc,scsd8-2r,72394,72394,72394,72300,72282,72265
misc,sctap1-2b,51502,51502,51502,51496,51496,51496
misc,sctap1-2c,12312,12312,12312,12081,12055,12055
misc,sctap1-2r,94597,94597,94597,94577,94577,94577
misc,se,40352,40352,40352,40290,40256,40179
misc,seymourl,14811,14811,14811,14659,14530,14343
misc,sgpf5y6,564843,564455,564455,564843,564210,564051
misc,shallow-water1,85368,85368,85368,85254,85246,85246
misc,shallow-water2,85368,85368,85368,85261,85259,85256
misc,shar-te2-b1,20451,20451,20451,20410,20409,20408
misc,shar-te2-b2,305398,301673,301673,305398,301898,300262
misc,shar-te2-b3,491773,491773,477804,491773,491773,476470
misc,sherman2,2743,2743,2743,2706,2706,2706
misc,sherman3,4185,4185,4185,4112,4112,4112
misc,sherman5,3046,3046,3046,3024,3024,3023
misc,shermanACa,5283,5283,5283,5018,4999,4999
misc,shermanACb,22547,22547,22547,22278,22024,21999
misc,shermanACd,8895,8895,8895,8737,8713,8713
misc,ship-001,51922,51922,51922,51919,51841,51795
misc,shipsec5,42898,42888,42888,42324,42249,42246
misc,shock-9,38876,38876,38876,38800,38759,38739
misc,shuttle-eddy,12560,12560,12560,12419,12412,12412
misc,shyy161,80541,80541,80541,80391,80333,80331
misc,shyy41,5679,5679,5679,5643,5643,5643
misc,Si10H16,45574,45574,45574,45702,44873,44241
misc,Si5H12,51805,51579,51579,51643,50369,49713
misc,Sieber,2524,2524,2524,2524,2524,2524
misc,SiH4,13304,13304,13304,12995,12901,12872
misc,SiNa,15266,15266,15266,14953,14736,14720
misc,sinc12,32670,32670,32670,32471,31364,30336
misc,sinc15,51149,51121,51121,51132,49810,47667
misc,sinc18,79151,72547,72547,72720,71989,69410
misc,SiO,83566,83170,83170,83559,83298,82685
misc,sit100,12445,12445,12445,12155,12153,12153
misc,skirt,15075,15075,15075,14876,14873,14787
misc,slashdot-threads,79167,79167,79167,78653,77955,77199
misc,slashdot-zoo,175394,175394,175394,175394,175256,175222
misc,slptsk,15408,15356,15356,13618,12525,12100
misc,sme3Da,19882,19882,19882,19827,19821,19821
misc,sme3Db,41671,41651,41606,42363,40565,40565
misc,smt,43555,43555,43555,43422,43068,43017
misc,soc-Epinions1,131077,131077,131077,131042,130881,130870
misc,soc-sign-epinions,213876,213876,213876,213876,213546,213434
misc,soc-sign-Slashdot081106,173142,173142,173142,173131,172998,172968
misc,soc-sign-Slashdot090216,181834,181834,181834,181827,181410,181406
misc,soc-sign-Slashdot090221,182502,182502,182502,182473,182283,182189
misc,soc-Slashdot0811,173978,173978,173978,173952,173711,173653
misc,soc-Slashdot0902,182867,182867,182867,182848,182562,182537
misc,south31,55481,55481,55481,55429,55414,55412
misc,sparsine,123657,123649,123624,127688,118741,115779
misc,spiral,2516,2516,2516,2445,2435,2435
misc,spmsrtls,30184,30184,30184,30184,30184,30184
misc,srb1,66552,66552,66552,65694,65418,65418
misc,stackexchange-stackoverflow,823394,823394,819705,823304,823304,812539
misc,Stanford,309590,309457,309399,332322,319575,300268
misc,Stanford-Berkeley,39118,39115,39115,39048,38836,38792
misc,stat96v1,204766,204766,204766,204736,204719,204698
misc,stat96v4,67437,67437,67437,67432,67432,67432
misc,stat96v5,79063,79063,79063,79015,79009,79005
misc,std1-Jac2,74898,69492,69492,74898,69030,67280
misc,std1-Jac2-db,22971,22971,22971,22969,22968,22968
misc,std1-Jac3,77428,73303,73303,77411,72807,70921
misc,std1-Jac3-db,22510,22510,22510,22379,22348,22348
misc,stoch-aircraft,11500,11500,11500,11482,11482,11482
misc,stokes128,54912,54912,54912,54752,54354,54292
misc,stokes64,15134,15134,15134,14963,14957,14838
misc,stokes64s,15134,15134,15134,14946,14900,14829
misc,stomach,18338,18338,18338,17991,17919,17897
misc,stormg2-125,242686,242686,242686,243242,242565,242477
misc,stormg2-27,54284,54284,54284,54218,54139,54046
misc,stormg2-8,17394,17394,17394,17151,17070,17036
misc,struct3,60302,60302,60302,59628,59449,59432
misc,struct4,11660,11660,11660,11554,11554,11549
misc,sts4098,6199,6199,6199,6077,6077,6077
misc,stufe-10,25831,25831,25831,25773,25747,25747
misc,subelj-cora,33049,33045,33044,32749,31819,31518
misc,subelj-jdk,10303,10303,10303,9603,9542,9542
misc,subelj-jung-j,9971,9971,9971,9377,9219,9189
misc,swang1,3947,3947,3947,3899,3899,3899
misc,swang2,3947,3947,3947,3903,3903,3903
misc,t0331-4l,60318,60318,60318,60274,59889,59716
misc,t2dah,13864,13864,13864,13699,13689,13681
misc,t2dah-a,13864,13864,13864,13691,13685,13683
misc,t2dah-e,13864,13864,13864,13685,13681,13681
misc,t2dal,5449,5449,5449,5395,5395,5395
misc,t2dal-a,5449,5449,5449,5394,5394,5394
misc,t2dal-bci,5449,5449,5449,5392,5392,5392
misc,t2d-q4,11630,11630,11630,11491,11491,11489
misc,t2d-q9,11630,11630,11630,11492,11492,11491
misc,t3dh,113279,113279,113266,115646,106705,106543
misc,t3dh-a,113279,113279,113266,116308,106692,106570
misc,t3dh-e,113279,113279,113266,119972,106699,106634
misc,t3dl,30694,30690,30690,29743,29576,29568
misc,t3dl-a,30694,30690,30690,29785,29548,29548
misc,t520,8999,8999,8999,8823,8823,8821
misc,t60k,62453,62453,62453,62392,62390,62390
misc,tandem-dual,102625,102625,102625,102516,102249,102140
misc,tandem-vtx,23821,23821,23821,23667,23619,23619
misc,tech-arenas-pgp,12027,12027,12027,11899,11836,11797
misc,tech-as-22july06,26926,26922,26918,26525,26149,25892
misc,tech-as-caida,30505,30503,30500,30239,29889,29676
misc,tech-as-caida20071105,30578,30578,30578,30284,29964,29778
misc,tech-as-skitter,2126202,2126202,1907170,2126145,2116783,1901731
misc,ted-A,14169,14169,14169,14116,14116,14116
misc,ted-AB,14577,14577,14577,14487,14487,14487
misc,ted-AB-unscaled,14577,14577,14577,14489,14489,14489
misc,ted-A-unscaled,14169,14169,14169,14115,14115,14115
misc,ted-B,6810,6810,6810,6804,6804,6804
misc,ted-B-unscaled,6810,6810,6810,6804,6804,6804
misc,testbig,49500,49500,49500,49493,49366,49365
misc,TF14,14977,14977,14977,14470,14282,14166
misc,TF15,35607,35607,35607,35246,34286,33895
misc,TF16,90886,85796,85796,90886,84884,83118
misc,TF17,224909,224909,212237,224909,213494,208948
misc,TF18,554826,554826,524163,554826,554826,522985
misc,thermal,5161,5161,5161,4943,4943,4943
misc,thermal1,86389,86389,86389,86307,86120,86114
misc,thermomech-dM,211752,210224,210224,211735,209950,209815
misc,thermomech-TC,106623,106623,106623,106543,106311,106297
misc,thermomech-TK,106623,106623,106623,106574,106320,106301
misc,thread,53873,53873,53873,53880,53775,53768
misc,tomographic1,122718,122007,122007,123109,121467,121124
misc,torsion1,42793,42793,42793,42625,42587,42542
misc,torso2,121662,121662,121662,122105,120935,120934
misc,trans4,118843,118843,118843,118843,118843,118843
misc,trans5,118843,118843,118843,118843,118843,118843
misc,transient,183740,183740,183740,183736,183697,183693
misc,trdheim,27951,27951,27951,27792,27664,27664
misc,Trec11,6222,6222,6222,6071,6065,6026
misc,Trec12,15262,15262,15262,14931,14832,14741
misc,Trec13,37398,37398,37398,37267,36755,36599
misc,Trec14,98503,92099,92099,98503,91578,89957
