Family,Instance Name,METIS,,,,,,,,,SPAC,,,,,,,,,SHEEP,,,,,,,,,NE,,,,,,,,
,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
bio,bio-SC-GT,6958,6958,6958,7133,7133,7133,7069,7069,7069,8533,8533,8533,8674,8668,8668,8275,8275,8275,15498,15498,15498,14576,14567,14567,15371,15371,15371,6444,6444,6444,6444,6444,6444,6444,6444,6444
bio,bio-SC-HT,10718,10718,10718,12014,12014,12014,10779,10779,10779,12692,12692,12692,12826,12826,12821,12497,12497,12497,21768,21768,21768,20906,20906,20906,21722,21722,21722,9201,9201,9201,9196,9196,9196,9201,9201,9201
bio,bio-SC-LC,6761,6761,6761,6723,6723,6723,6718,6718,6718,7354,7354,7354,7442,7403,7403,7250,7250,7250,11767,11767,11767,11440,11391,11391,11335,11335,11335,6344,6344,6344,6344,6344,6344,6344,6344,6344
bio,bio-WormNet-v3,252714,83201,83201,252714,85973,85863,252714,82128,82128,105409,105409,105409,106443,106257,106257,120524,104246,104246,187164,187164,187164,186744,186534,186483,187167,187167,187167,74166,74166,74166,74166,74166,74166,74164,74164,74164
bio,bio-WormNet-v3-benchmark,6487,6487,6487,6843,6843,6843,6735,6735,6735,5547,5547,5547,5614,5614,5614,5575,5575,5575,6723,6723,6723,6809,6809,6809,6834,6834,6834,5470,5470,5470,5526,5471,5471,5421,5421,5421
bio,bio-yeast,1813,1813,1813,1814,1814,1814,1813,1813,1813,1822,1822,1822,1821,1821,1821,1822,1822,1822,1902,1902,1902,1915,1915,1915,1899,1899,1899,1859,1859,1859,1859,1859,1859,1859,1859,1859
bio,bio-yeast-protein-inter,2188,2188,2188,2185,2185,2185,2188,2188,2188,2258,2258,2258,2274,2274,2274,2258,2258,2258,2369,2369,2369,2360,2360,2360,2369,2369,2369,2243,2243,2243,2243,2243,2243,2243,2243,2243
ca,ca-aminer,1726108,1384025,1384025,1726097,1726097,1370462,1726108,1726108,1371197,1799819,1799819,1436240,1799819,1799819,1437252,1799819,1799819,1405377,2033023,2033023,1983525,2029861,2024989,2022551,2033023,2033023,1509265,1465990,1465990,1465990,1465990,1465990,1465990,1465990,1465990,1465990
ca,ca-AstroPh,35664,35664,35664,33989,33982,33966,34343,34343,34343,57211,57211,57211,58882,58880,58625,78397,49931,49931,79655,79655,79655,78984,78845,78845,70654,70654,70654,35392,35392,35392,35392,35392,35392,35377,35377,35377
ca,ca-citeseer,257385,257385,257385,288620,256771,256771,288620,256403,256403,275560,261184,261184,275560,261163,261163,275560,258400,258400,332070,294200,294200,331572,320508,286863,332070,268781,268781,264196,264196,264196,264196,264196,264196,264163,264163,264163
