Family,Instance Name,METIS,,,,,,,,,SPAC,,,,,,,,,SHEEP,,,,,,,,,NE,,,,,,,,
,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
misc,nemsemm2,59476,59476,59476,59701,59689,59689,58965,58965,58965,57618,57618,57618,57609,57609,57609,57593,57593,57593,58856,58856,58856,58817,58702,58702,58725,58725,58725,74662,74662,74662,74662,74662,74662,74662,74662,74662
misc,nemspmm1,16287,16287,16287,16105,16100,16100,16021,16021,16021,14230,14230,14230,14229,14229,14229,14191,14191,14191,20106,20106,20106,20020,19978,19976,18737,18737,18737,15558,15558,15558,15558,15558,15558,15495,15495,15495
misc,nemspmm2,16415,16415,16415,15724,15719,15719,15648,15648,15648,14228,14228,14228,14249,14249,14249,14210,14210,14210,20549,20549,20549,21228,20779,20779,19077,19077,19077,16130,16130,16130,16130,16130,16130,16125,16125,16125
misc,nemswrld,45691,45691,45691,45400,45390,45390,44429,44429,44429,41032,41032,41032,41018,41016,41016,40961,40961,40961,60434,60434,60434,64163,59680,59652,56051,56051,56051,44486,44486,44486,44486,44486,44486,44468,44468,44468
misc,neos,1089908,1028117,1028117,1089910,1028293,1028284,1089908,1089908,1026376,1017158,1012455,1012455,1012524,1012520,1012520,1017158,1012361,1012361,1092514,1087469,1087469,1091848,1087531,1087530,1092514,1092514,1081575,1026316,1026316,1026316,1026319,1026318,1026318,1026474,1026204,1026204
misc,neos1,337946,337946,337946,431703,335170,335170,431705,335907,335907,293695,293695,293695,295810,293678,293678,295810,293559,293559,315090,315090,315090,315116,315090,315090,315057,315057,315057,318163,318163,318163,318163,318163,318163,318163,318163,318163
misc,neos2,326278,326278,326278,448795,323999,323999,448796,324420,324420,293660,293660,293660,295788,293667,293667,295788,293483,293483,306008,306008,306008,306009,306008,306008,305982,305982,305982,308705,308705,308705,308705,308705,308705,308598,308598,308598
misc,neos3,1536118,1302274,1302274,1536122,1305690,1305273,1536118,1536118,1300038,1108093,1103478,1103478,1108093,1103449,1103449,1108093,1103409,1103409,1262453,1262453,1262453,1262453,1262453,1262453,1262453,1262453,1262453,1243032,1243032,1243032,1243032,1243032,1243032,1243032,1243032,1243032
misc,net100,119571,119571,119571,186731,149833,149632,380749,380749,89044,61734,61734,61734,62231,61955,61738,64618,61495,61495,179650,179650,179650,181428,181428,180376,181498,142898,142898,181254,181254,181254,181253,181253,181253,181257,154693,154693
misc,net125,470239,148380,148380,295128,183037,182975,470239,470239,98382,77204,77204,77204,77458,77358,77356,81125,76545,76545,214134,214134,214134,215351,215351,214707,215431,167456,167456,212996,212996,212996,212996,212996,212996,213017,213017,190787
misc,net150,562803,175239,175239,347931,215664,215493,562803,562803,124285,92512,92512,92512,93081,92926,92728,98054,91644,91644,286047,286047,286047,288146,288146,288146,288791,288791,230899,234330,234330,234330,234329,234329,234329,234378,234378,201747
misc,net25,31176,31176,31176,37112,37110,37090,28694,28694,28694,20962,20962,20962,20999,20999,20997,20617,20617,20617,40545,40545,40545,40844,40544,40544,40139,40139,40139,40599,40599,40599,40599,40578,40578,40092,40092,40092
misc,net4-1,93760,93760,93760,94205,94205,94157,93718,93718,93718,99126,99126,99126,99362,99277,99277,104756,97568,97568,103592,103592,103592,104619,104070,103993,103978,103978,103978,102328,102328,102328,102328,102328,102328,102328,102328,102328
misc,net50,60617,60617,60617,78186,78173,78165,176808,46440,46440,33343,33343,33343,33525,33397,33397,32803,32803,32803,98326,98326,98326,98703,98703,98703,98198,98198,98198,73344,73344,73344,73344,73344,73344,73266,73266,73266
misc,net75,90805,90805,90805,119292,118201,118164,278292,67016,67016,48604,48604,48604,48803,48638,48618,50775,47910,47910,142308,142308,142308,142329,142298,142298,141911,141911,141911,128900,128900,128900,128900,128900,128900,128901,118918,118918
misc,nl,26924,26924,26924,26845,26844,26844,26581,26581,26581,26220,26220,26220,26220,26220,26220,26138,26138,26138,29240,29240,29240,29270,29255,29255,28454,28454,28454,27325,27325,27325,27293,27293,27293,27269,27269,27269
misc,nmos3,21940,21940,21940,22088,22088,22088,21901,21901,21901,23245,23245,23245,23342,23332,23332,22460,22460,22460,63270,63270,63270,66639,64424,64424,55996,55996,55996,22324,22324,22324,22273,22273,22273,22279,22279,22279
misc,nopoly,11758,11758,11758,11754,11754,11754,11754,11754,11754,11875,11875,11875,11871,11871,11871,11842,11842,11842,15845,15845,15845,16304,16304,16304,15052,15052,15052,11991,11991,11991,11991,11991,11991,11991,11991,11991
misc,nopss-11k,11661,11661,11661,11663,11663,11663,11655,11655,11655,11679,11679,11679,11673,11673,11673,11677,11677,11677,11957,11957,11957,11882,11882,11882,11921,11921,11921,11870,11870,11870,11868,11868,11868,11868,11868,11868
misc,NotreDame-actors,850529,695686,695686,850528,688404,688401,850529,850529,683461,749166,705141,705141,749180,706145,706145,749166,749166,694015,1164094,1138439,1138439,1163350,1147731,1133240,1164094,1164094,863734,726575,726575,726575,726575,726575,726575,726576,726292,726292
misc,NotreDame-www,266785,266785,266785,267769,267749,267728,286249,265544,265544,268131,268131,268131,269438,269212,269127,292535,266420,266420,290965,290965,290965,295191,295087,293018,295992,291914,291914,279856,279856,279856,279856,279856,279611,279843,279843,279843
misc,ns3Da,34894,34894,34894,35437,35431,35395,33800,33800,33800,93515,93515,93515,121263,97144,97144,121263,91367,91367,278259,278259,278259,279824,277798,277762,275920,275920,275920,33903,33903,33903,33898,33898,33898,33892,33892,33892
misc,nsct,78446,78446,78446,81633,80031,80000,77987,77987,77987,79958,79958,79958,79993,79963,79945,79659,79659,79659,139559,139559,139559,140875,138109,137901,137034,137034,137034,74317,74317,74317,74317,74317,74317,74317,74317,74317
misc,nsir,22276,22276,22276,22552,22543,22536,21771,21771,21771,22557,22557,22557,22533,22508,22492,22389,22389,22389,52981,52981,52981,53079,53014,52918,49714,49714,49714,21676,21676,21676,21676,21676,21676,21676,21676,21676
misc,nug08-3rd,87325,87325,87325,87956,87885,87881,98542,84691,84691,92218,92218,92218,92219,92218,92217,91770,91770,91770,109461,109461,109461,108761,108761,108761,105268,105268,105268,100036,100036,100036,100036,100036,100036,99755,99755,99755
misc,nw14,127310,127310,127310,391176,127353,127353,391176,127412,127412,125431,125431,125431,125435,125431,125431,125431,125431,125431,125423,125423,125423,125425,125423,125423,125423,125423,125423,394546,394546,394546,394546,394546,394546,394546,394546,394546
misc,obstclae,42845,42845,42845,42847,42847,42847,42815,42815,42815,42940,42940,42940,42939,42939,42939,42796,42796,42796,51435,51435,51435,51435,51435,51435,51435,51435,51435,42831,42831,42831,42831,42831,42831,42831,42831,42831
misc,ODLIS,6878,6878,6878,6742,6738,6738,6855,6855,6855,7881,7881,7881,7895,7822,7822,7604,7604,7604,9029,9029,9029,8967,8967,8967,8409,8409,8409,6680,6680,6680,6682,6682,6682,6680,6680,6680
misc,offshore,319133,290047,290047,288399,288399,288385,319133,289248,289248,302011,302011,302011,310906,301810,301810,310906,300427,300427,746274,695722,695722,734137,730253,729838,746274,746274,393166,300816,300816,300816,300815,300815,300815,300815,300815,300815
misc,oilpan,83671,83671,83671,84535,84518,84502,83587,83587,83587,87325,87325,87325,89411,87325,87325,86940,86940,86940,109174,109174,109174,109050,109050,109050,108999,108999,108999,84287,84287,84287,84287,84287,84287,84258,84258,84258
misc,olafu,22508,22508,22508,23040,23034,23032,22339,22339,22339,24070,24070,24070,24054,24042,24042,23980,23980,23980,55975,55975,55975,58525,58523,58523,57469,57469,57469,23498,23498,23498,23498,23498,23498,23498,23498,23498
misc,olesnik0,94198,94198,94198,94207,94207,94207,94126,94126,94126,94200,94200,94200,94187,94186,94186,94131,94131,94131,125167,125167,125167,126273,126273,126273,127221,115405,115405,97559,97559,97559,97535,97535,97535,97566,97566,97566
misc,olm5000,5126,5126,5126,5126,5126,5126,5126,5126,5126,5126,5126,5126,5126,5126,5126,5126,5126,5126,5116,5116,5116,5172,5172,5172,5116,5116,5116,5184,5184,5184,5184,5184,5184,5184,5184,5184
misc,onera-dual,94112,94112,94112,94114,94114,94114,94013,94013,94013,94077,94077,94077,94076,94076,94076,93938,93938,93938,118810,118810,118810,119020,119019,119019,114839,114839,114839,95408,95408,95408,95408,95408,95408,95402,95402,95402
misc,onetone1,59702,59702,59702,58849,58812,58808,82790,58154,58154,52175,52175,52175,52512,52317,52065,51845,51845,51845,62824,62824,62824,64455,64293,64263,78992,58700,58700,51435,51435,51435,51435,51435,51435,51435,51435,51435
misc,onetone2,44716,44716,44716,44551,44546,44546,44210,44210,44210,44766,44766,44766,44791,44735,44735,44129,44129,44129,45142,45142,45142,46395,46119,46119,43897,43897,43897,42910,42910,42910,42910,42910,42910,42910,42910,42910
misc,OPF-10000,45101,45101,45101,45097,45097,45097,45075,45075,45075,44989,44989,44989,44989,44989,44989,45007,45007,45007,48579,48579,48579,49036,49036,49036,48444,48444,48444,45825,45825,45825,45825,45825,45825,45826,45826,45826
misc,OPF-3754,16167,16167,16167,16184,16184,16184,16157,16157,16157,16167,16167,16167,16166,16166,16166,16167,16167,16167,17003,17003,17003,17009,17009,17009,16977,16977,16977,16632,16632,16632,16632,16632,16632,16632,16632,16632
misc,OPF-6000,31042,31042,31042,31054,31054,31054,31023,31023,31023,30999,30999,30999,31009,31009,31009,31009,31009,31009,32590,32590,32590,32694,32694,32694,32638,32638,32638,31811,31811,31811,31806,31806,31806,31809,31809,31809
misc,opsahl-openflights,5159,5159,5159,5056,5056,5056,5184,5184,5184,5355,5355,5355,5400,5400,5400,5325,5325,5325,7056,7056,7056,7574,7106,7106,6737,6737,6737,5013,5013,5013,5013,5013,5013,5013,5013,5013
misc,opsahl-ucsocial,6527,6527,6527,6333,6333,6333,6452,6452,6452,6951,6951,6951,7034,7034,7034,6797,6797,6797,9122,9122,9122,9093,9093,9093,8886,8886,8886,6069,6069,6069,6069,6069,6069,6069,6069,6069
misc,opsahl-usairport,4534,4534,4534,4638,4638,4638,4593,4593,4593,5006,5006,5006,5073,5071,5071,5005,5005,5005,6966,6966,6966,6922,6896,6896,6802,6802,6802,4426,4426,4426,4426,4426,4426,4426,4426,4426
misc,opt1,27861,27861,27861,28823,28736,28722,25944,25944,25944,27211,27211,27211,27344,27320,27306,27095,27095,27095,60451,60451,60451,63008,60927,60927,63321,58483,58483,26048,26048,26048,26047,26047,26047,26048,26048,26048
misc,orani678,11790,11790,11790,14463,14433,14433,11826,11826,11826,8830,8830,8830,8849,8848,8848,8761,8761,8761,14881,14881,14881,14790,14782,14782,14503,14503,14503,9500,9500,9500,9500,9500,9500,9500,9500,9500
misc,Oregon-1,13425,13425,13425,13407,13401,13401,13396,13396,13396,14082,14082,14082,14090,14085,14085,13978,13978,13978,13609,13609,13609,13601,13601,13601,13509,13509,13509,15491,15491,15491,15493,15493,15493,15491,15491,15491
misc,Oregon-2,14636,14636,14636,14612,14609,14609,14583,14583,14583,15778,15778,15778,15894,15859,15859,15617,15617,15617,16525,16525,16525,16542,16542,16542,16521,16521,16521,16453,16453,16453,16455,16455,16455,16275,16275,16275
misc,orsreg-1,3553,3553,3553,3549,3549,3549,3540,3540,3540,3560,3560,3560,3563,3563,3563,3544,3544,3544,5122,5122,5122,5147,5147,5147,5173,5173,5173,3420,3420,3420,3420,3420,3420,3418,3418,3418
misc,p010,40377,40377,40377,40843,40839,40828,39602,39602,39602,34208,34208,34208,34208,34208,34207,34166,34166,34166,34960,34960,34960,34956,34956,34956,34933,34933,34933,37927,37927,37927,37926,37926,37926,37949,37949,37949
misc,p05,21043,21043,21043,21258,21257,21245,20594,20594,20594,18401,18401,18401,18403,18402,18402,18350,18350,18350,20156,20156,20156,20141,20141,20141,20124,20124,20124,20608,20608,20608,20608,20608,20608,20556,20556,20556
misc,p2p-Gnutella04,30409,30409,30409,30380,30354,30354,29872,29872,29872,29546,29546,29546,29561,29546,29541,29079,29079,29079,36106,36106,36106,37153,37153,37153,31207,31207,31207,28841,28841,28841,28841,28841,28841,28841,28841,28841
misc,p2p-Gnutella05,24199,24199,24199,24147,24139,24139,23778,23778,23778,23721,23721,23721,23769,23763,23763,23383,23383,23383,28694,28694,28694,29315,29315,29315,24615,24615,24615,23039,23039,23039,23039,23039,23039,23041,23041,23041
misc,p2p-Gnutella06,23863,23863,23863,23798,23787,23787,23378,23378,23378,23487,23487,23487,23483,23475,23475,23166,23166,23166,28643,28643,28643,29324,29306,29306,24827,24827,24827,22773,22773,22773,22773,22773,22773,22773,22773,22773
misc,p2p-Gnutella08,15401,15401,15401,15329,15326,15326,15175,15175,15175,15178,15178,15178,15185,15182,15182,14938,14938,14938,18038,18038,18038,18469,18469,18469,16470,16470,16470,14680,14680,14680,14680,14680,14680,14680,14680,14680
misc,p2p-Gnutella09,19615,19615,19615,19554,19553,19553,19178,19178,19178,19127,19127,19127,19131,19127,19127,18912,18912,18912,22314,22314,22314,23333,23333,23333,20466,20466,20466,18676,18676,18676,18676,18676,18676,18676,18676,18676
misc,p2p-Gnutella24,55084,55084,55084,55068,55036,55034,54177,54177,54177,53632,53632,53632,53656,53633,53632,52942,52942,52942,61476,61476,61476,62143,62138,62118,53603,53603,53603,53008,53008,53008,53008,53008,53008,53008,53008,53008
misc,p2p-Gnutella25,45764,45764,45764,45711,45699,45699,45022,45022,45022,44925,44925,44925,44945,44922,44922,44416,44416,44416,51189,51189,51189,51392,51324,51324,44985,44985,44985,44425,44425,44425,44425,44425,44425,44425,44425,44425
misc,p2p-Gnutella30,72212,72212,72212,72191,72171,72163,70833,70833,70833,70932,70932,70932,70971,70959,70946,70152,70152,70152,80563,80563,80563,81183,81156,81086,71376,71376,71376,70380,70380,70380,70380,70380,70380,70380,70380,70380
misc,p2p-Gnutella31,123098,123098,123098,123038,122997,122934,136923,120620,120620,118865,118865,118865,118932,118926,118875,125103,117185,117185,138677,138677,138677,139961,139961,139847,142713,118465,118465,118322,118322,118322,118322,118322,118322,118318,118318,118318
misc,p6000,10304,10304,10304,10305,10305,10305,10304,10304,10304,10169,10169,10169,10169,10169,10169,10169,10169,10169,10158,10158,10158,10158,10158,10158,10158,10158,10158,15759,15759,15759,15759,15759,15759,15759,15759,15759
misc,para-10,12886,12886,12886,12926,12926,12926,12898,12898,12898,19566,19566,19566,18697,18697,18697,15061,15061,15061,14278,14278,14278,13893,13893,13893,13774,13774,13774,13025,13025,13025,13025,13025,13025,13031,13031,13031
misc,para-4,93107,93107,93107,91177,91176,91172,108502,92372,92372,145139,145139,145139,166561,165316,162605,187113,135962,135962,116522,116522,116522,116411,116047,116047,122609,112319,112319,94621,94621,94621,94542,94542,94542,94621,94621,94621
misc,para-5,12704,12704,12704,12674,12674,12674,12705,12705,12705,20013,20013,20013,18121,18121,18121,14406,14406,14406,13751,13751,13751,14866,14866,14866,13733,13733,13733,12933,12933,12933,12933,12933,12933,12933,12933,12933
misc,para-6,12759,12759,12759,12704,12704,12704,12754,12754,12754,19749,19749,19749,18794,18794,18794,14730,14730,14730,13912,13912,13912,13764,13764,13764,13803,13803,13803,12910,12910,12910,12920,12920,12920,12961,12961,12961
misc,para-7,12728,12728,12728,12683,12683,12683,12725,12725,12725,18747,18747,18747,18643,18643,18643,14664,14664,14664,13951,13951,13951,13934,13934,13934,13863,13863,13863,12960,12960,12960,12960,12960,12960,12960,12960,12960
misc,para-8,13002,13002,13002,12998,12998,12998,12949,12949,12949,20520,20520,20520,19068,19068,19068,14695,14695,14695,14033,14033,14033,14269,14269,14269,13817,13817,13817,13145,13145,13145,13145,13145,13145,13146,13146,13146
misc,para-9,12828,12828,12828,12774,12774,12774,12795,12795,12795,19510,19510,19510,19449,19449,19449,15054,15054,15054,14222,14222,14222,14014,14014,14014,14024,14024,14024,13125,13125,13125,13125,13125,13125,13125,13125,13125
misc,parabolic-fem,541928,537332,537332,541928,537295,537295,541928,536689,536689,540276,537707,537707,540276,537699,537699,540276,536877,536877,861301,713597,713597,807666,731013,725539,861301,861301,668545,538479,538479,538479,538479,538479,538479,538472,538472,538472
misc,patents-main,287632,287632,287632,287368,287357,287303,306590,285602,285602,288015,288015,288015,288030,288025,287985,297418,297418,286476,456678,456678,456678,479190,447019,444303,482340,482340,341084,306555,306555,306555,306555,306555,306555,306563,305093,305093
misc,pcb1000,6299,6299,6299,6237,6237,6237,6234,6234,6234,6397,6397,6397,6416,6416,6416,6373,6373,6373,8619,8619,8619,8968,8968,8968,8348,8348,8348,5984,5984,5984,5984,5984,5984,5984,5984,5984
misc,pcb3000,14417,14417,14417,14486,14452,14452,14153,14153,14153,14506,14506,14506,14494,14486,14486,14436,14436,14436,23854,23854,23854,24105,24104,24095,21033,21033,21033,14329,14329,14329,14329,14329,14329,14327,14327,14327
misc,pcrystk02,24798,24798,24798,26535,26533,26523,24095,24095,24095,30766,30766,30766,30767,30752,30744,29313,29313,29313,39014,39014,39014,39583,39583,39583,39406,39406,39406,24953,24953,24953,24950,24950,24950,24954,24954,24954
misc,pcrystk03,39623,39623,39623,42048,42048,42020,38726,38726,38726,48363,48363,48363,48435,48433,48424,53074,46904,46904,57957,57957,57957,58088,58088,58088,57907,57907,57907,41880,41880,41880,41879,41879,41879,41879,41879,41879
misc,pct20stif,63434,63434,63434,63844,63842,63818,63395,63395,63395,64148,64148,64148,66100,64167,64158,63999,63999,63999,136469,136469,136469,138442,137988,136598,132701,132701,132701,66273,66273,66273,66273,66177,66177,66273,66273,66273
misc,Pd,5530,5530,5530,5530,5530,5530,5530,5530,5530,5627,5627,5627,5631,5631,5631,5641,5641,5641,5778,5778,5778,5761,5761,5761,5792,5792,5792,5609,5609,5609,5609,5609,5609,5609,5609,5609
misc,pdb1HYS,56077,56077,56077,57177,57177,57177,85267,55472,55472,54961,54961,54961,58996,54930,54930,58996,54780,54780,315946,315946,315946,336498,316760,316760,336666,315216,315216,56257,56257,56257,56257,56257,56257,56257,56257,56257
misc,pde2961,3705,3705,3705,3703,3703,3703,3690,3690,3690,3739,3739,3739,3739,3739,3739,3712,3712,3712,5520,5520,5520,5593,5593,5593,5485,5485,5485,3681,3681,3681,3681,3681,3681,3681,3681,3681
misc,pds10,24669,24669,24669,24647,24647,24647,24409,24409,24409,24374,24374,24374,24376,24375,24375,24258,24258,24258,33159,33159,33159,33278,33278,33278,29635,29635,29635,26928,26928,26928,26928,26928,26928,26506,26506,26506
misc,pds-100,712413,708465,708465,708472,708469,708462,712413,712413,707428,702373,702373,702373,702372,702372,702372,702884,702258,702258,871103,861643,861643,869246,863729,861147,871103,871103,805135,779039,779039,779039,779039,779039,779039,779040,779040,765958
misc,pds-30,225478,225478,225478,225474,225474,225474,226407,225093,225093,224833,224833,224833,224834,224834,224834,225060,224782,224782,269299,269299,269299,269879,268897,268430,274696,253812,253812,247436,247436,247436,247436,247436,247436,247490,247097,247097
misc,pds-40,306754,306754,306754,306780,306761,306761,308430,306104,306104,304361,304361,304361,304655,304361,304361,304655,304293,304293,370644,370644,370644,371717,370991,370991,374894,374894,346664,336245,336245,336245,336243,336194,336194,336267,336267,331455
misc,pds-50,384912,384912,384912,384917,384915,384911,387057,384234,384234,381931,381931,381931,382265,381930,381930,382265,381853,381853,471649,466325,466325,467970,466966,466966,471649,471649,434969,423271,423271,423271,423243,423243,423243,423301,423301,415363
misc,pds-60,465945,465945,465945,465978,465978,465976,468580,465115,465115,461161,461161,461161,461476,461161,461161,461476,461049,461049,571232,564200,564200,567371,564133,564032,571232,571232,528025,512472,512472,512472,512423,512423,512423,512474,512474,504268
misc,pds-70,538181,538181,538181,538235,538235,538230,541047,537361,537361,532684,532684,532684,533007,532683,532683,533007,532578,532578,663594,652535,652535,659021,653161,653161,663594,663594,612815,592666,592666,592666,592666,592373,592373,592669,592669,582143
misc,pds-80,602463,598971,598971,598984,598984,598978,602463,598049,598049,592985,592985,592985,593431,592985,592985,593431,592873,592873,746434,736182,736182,743782,737608,735622,746434,746434,683943,655200,655200,655200,655189,655189,654939,655200,655200,644818
misc,pds-90,655527,655527,655527,655574,655574,655573,659302,659302,654495,649029,649029,649029,649510,649029,649029,649510,648915,648915,810618,802021,802021,809023,805700,802489,810618,810618,747374,714495,714495,714495,714460,714460,714460,714496,714496,703259
misc,pesa,13015,13015,13015,12994,12994,12994,12983,12983,12983,13055,13055,13055,13055,13055,13055,13014,13014,13014,17874,17874,17874,18193,18193,18193,16682,16682,16682,13066,13066,13066,13066,13066,13066,13075,13075,13075
misc,petster-carnivore,3054090,3054090,1310048,3054155,3054155,1313843,3054090,3054090,1248861,2031371,2031371,1590909,2031389,2031389,1590152,2031371,2031371,1541920,2028450,2028450,2026424,2028213,2028004,2027961,2028450,2028450,2020521,1249865,1249839,1249839,1249842,1249842,1249839,1249865,1249865,1248352
misc,petster-friendships-cat,1338569,1338569,353557,1338572,406640,391195,1338569,1338569,333332,635571,635571,451919,635571,464535,461517,635571,635571,428770,506543,506543,506543,506483,506434,506402,506576,506224,506224,371499,371499,371499,371499,371499,371499,371508,371363,371363
misc,petster-friendships-dog,2453887,2453887,1032553,2453864,2453864,1051230,2453887,2453887,1017582,1958529,1958529,1455778,1958529,1958529,1479961,1958529,1958529,1380256,1687613,1687375,1687375,1687443,1687363,1687334,1687613,1687613,1651264,1060532,1060532,1060532,1060532,1060532,1060532,1060558,1060558,1057766
misc,pf2177,25948,25948,25948,25930,25930,25930,25738,25738,25738,22650,22650,22650,22654,22647,22647,22626,22626,22626,26330,26330,26330,26331,26331,26331,26067,26067,26067,25874,25874,25874,25874,25874,25874,25874,25874,25874
misc,pfinan512,79296,79296,79296,79237,79237,79237,79129,79129,79129,78972,78972,78972,78971,78971,78971,78981,78981,78981,113038,113038,113038,115050,115050,115050,118624,96265,96265,89094,89094,89094,89094,89094,89094,89094,89094,89094
misc,pgp2,17555,17555,17555,17555,17555,17555,17548,17548,17548,17552,17552,17552,17552,17552,17552,17552,17552,17552,17561,17561,17561,17586,17586,17586,17573,17573,17573,19610,19610,19610,19610,19610,19610,19600,19600,19600
misc,PGPgiantcompo,12061,12061,12061,12059,12059,12059,12068,12068,12068,12506,12506,12506,12483,12483,12483,12381,12381,12381,13558,13558,13558,13586,13586,13586,13319,13319,13319,12324,12324,12324,12323,12323,12323,12319,12319,12319
misc,photogrammetry,3640,3640,3640,3767,3767,3767,3584,3584,3584,3391,3391,3391,3391,3391,3391,3390,3390,3390,5863,5863,5863,5837,5837,5837,5768,5768,5768,4635,4635,4635,4635,4635,4635,4635,4635,4635
misc,photogrammetry2,10846,10846,10846,11218,11183,11183,10378,10378,10378,8890,8890,8890,8887,8887,8887,8885,8885,8885,9882,9882,9882,9879,9879,9879,9826,9826,9826,13864,13864,13864,13864,13864,13864,13151,13151,13151
misc,pics-ti,1013935,655016,655016,1013924,651103,651103,1013935,1013935,648353,736669,672345,672345,736669,736669,673398,736669,736669,661344,652908,652908,652908,652750,652721,652720,653025,649012,649012,747516,747516,747516,751610,751610,747877,751610,751610,738825
misc,pics-ui,786533,617606,617606,786529,614647,614647,786533,786533,613617,664161,627267,627267,664161,627377,627377,664161,664161,619089,611844,611844,611844,611844,611844,611844,611844,611844,611844,599289,599289,599289,599288,599288,599288,599289,599289,599289
misc,pics-ut,145238,145238,145238,145582,145575,145567,273633,143878,143878,158001,158001,158001,158609,158588,158588,190072,190072,152473,168881,168881,168881,168273,168217,168217,167814,167814,167814,137235,137235,137235,137235,137235,137235,137235,137235,137235
misc,piston,4222,4222,4222,4361,4361,4361,4163,4163,4163,3630,3630,3630,3622,3622,3622,3616,3616,3616,3958,3958,3958,3968,3968,3968,3971,3971,3971,4366,4366,4366,4366,4366,4366,4366,4366,4366
misc,pkustk01,28223,28223,28223,28021,28014,28014,28062,28062,28062,28497,28497,28497,28468,28452,28452,28332,28332,28332,40616,40616,40616,45965,45965,44144,43528,43528,43528,28476,28476,28476,28476,28476,28476,28455,28455,28455
misc,pkustk02,16424,16424,16424,16397,16394,16394,15917,15917,15917,16063,16063,16063,16078,16075,16075,15938,15938,15938,21892,21892,21892,22362,22301,22213,21342,21342,21342,16223,16223,16223,16225,16217,16217,16201,16201,16201
misc,pkustk03,72066,72066,72066,72669,72669,72667,72024,72024,72024,72360,72360,72360,72350,72350,72348,72264,72264,72264,76997,76997,76997,78118,77755,77732,76683,76683,76683,73985,73985,73985,73979,73979,73979,73981,73981,73981
misc,pkustk04,72814,72814,72814,79487,78655,78521,132773,71439,71439,68999,68999,68999,69035,69032,69023,75619,68712,68712,89175,89175,89175,92896,92517,91270,101283,91221,91221,72593,72593,72593,72602,72602,72533,72633,72633,72633
misc,pkustk05,48794,48794,48794,50091,50086,50059,48678,48678,48678,50354,50354,50354,50340,50340,50340,49951,49951,49951,68140,68140,68140,70437,70312,70312,67528,67528,67528,61093,61093,61093,61090,61090,61090,61093,61093,61093
misc,pkustk06,55878,55878,55878,56990,56990,56960,55941,55941,55941,57690,57690,57690,60108,57700,57699,57228,57228,57228,78852,78852,78852,81069,80910,80064,88753,77190,77190,69913,69913,69913,69918,69918,69918,69912,69912,69912
misc,pkustk07,33471,33471,33471,37025,37012,37010,65101,32832,32832,36303,36303,36303,37119,37107,37083,42380,36097,36097,56062,56062,56062,61796,60274,60274,55898,55898,55898,31993,31993,31993,31997,31993,31993,31965,31965,31965
misc,pkustk08,42652,42652,42652,45928,45927,45925,76973,41434,41434,44404,44404,44404,45265,45265,45265,51947,44557,44557,67058,67058,67058,76675,73328,73328,80885,68956,68956,40592,40592,40592,40593,40593,40593,40594,40594,40594
misc,pkustk09,41406,41406,41406,42136,42124,42124,41262,41262,41262,41857,41857,41857,41823,41823,41823,41652,41652,41652,47438,47438,47438,48915,48619,48619,47700,47700,47700,42820,42820,42820,42820,42820,42820,42820,42820,42820
misc,pkustk10,95129,95129,95129,96437,96422,96415,94860,94860,94860,94746,94746,94746,95820,94749,94749,94512,94512,94512,96075,96075,96075,96585,96139,96139,96107,96107,96107,96494,96494,96494,96494,96494,96494,96494,96494,96494
misc,plat1919,3125,3125,3125,3130,3130,3130,3107,3107,3107,3946,3946,3946,3989,3989,3989,3807,3807,3807,6444,6444,6444,6764,6764,6764,6878,6878,6878,3152,3152,3152,3152,3152,3152,3152,3152,3152
misc,plbuckle,2450,2450,2450,2524,2524,2524,2478,2478,2478,2509,2509,2509,2526,2526,2526,2508,2508,2508,3815,3815,3815,3835,3835,3835,3761,3761,3761,2434,2434,2434,2434,2434,2434,2434,2434,2434
misc,pli,41875,41875,41875,44062,44061,44061,41100,41100,41100,48696,48696,48696,49232,49223,49221,48291,48291,48291,111881,111881,111881,112623,112623,112623,110145,110145,110145,46381,46381,46381,46381,46381,46381,46379,46379,46379
misc,plsk1919,2420,2420,2420,2409,2409,2409,2420,2420,2420,2490,2490,2490,2485,2485,2485,2489,2489,2489,2631,2631,2631,2626,2626,2626,2644,2644,2644,2414,2414,2414,2414,2414,2414,2414,2414,2414
misc,pltexpa,102113,102113,102113,102115,102115,102115,102110,102110,102110,101267,101267,101267,101262,101262,101262,101300,101300,101300,109037,109037,109037,109166,109166,109166,109839,109839,109839,104787,104787,104787,104705,104705,104705,104787,104787,104787
